x,y,gamma
-0.37385,-0.416471,-0.140358
-0.355485,-0.420497,-0.0798009
-0.409539,-0.42743,-0.0608487
-0.379459,-0.404054,-0.050604
-0.368217,-0.396597,-0.0438969
-0.393184,-0.39847,-0.0390385
-0.362734,-0.456595,-0.0352904
-0.370465,-0.474088,-0.0322714
-0.366577,-0.410134,-0.0297617
-0.294358,-0.4129,-0.0276248
-0.363527,-0.333432,-0.0257704
-0.370521,-0.44758,-0.0241363
-0.422283,-0.387537,-0.0226779
-0.396368,-0.328733,-0.0213623
-0.413536,-0.358441,-0.0201647
-0.419716,-0.475982,-0.0190658
-0.455087,-0.462939,-0.0180505
-0.389424,-0.518038,-0.0171067
-0.331508,-0.307153,-0.0162247
-0.498847,-0.393653,-0.0153962
-0.445828,-0.509694,-0.0146148
-0.249517,-0.461289,-0.0138746
-0.297028,-0.299825,-0.0131711
-0.4262,-0.263654,-0.0125
-0.530611,-0.374577,-0.0118581
-0.500059,-0.534812,-0.0112421
-0.384029,-0.603637,-0.0106495
-0.263954,-0.573552,-0.0100781
-0.190608,-0.46231,-0.00952561
-0.193449,-0.317157,-0.00899039
-0.254367,-0.214694,-0.00847076
-0.336048,-0.162285,-0.00796528
-0.423708,-0.15115,-0.00747265
-0.508378,-0.174816,-0.00699167
-0.582259,-0.229121,-0.00652126
-0.636295,-0.307726,-0.00606044
-0.665139,-0.400759,-0.00560829
-0.667444,-0.498162,-0.00516398
-0.646343,-0.590297,-0.00472672
-0.608188,-0.671658,-0.00429579
-0.559033,-0.740467,-0.0038705
-0.503631,-0.797151,-0.00345022
-0.445124,-0.843189,-0.00303433
-0.385348,-0.88023,-0.00262225
-0.325285,-0.909727,-0.00221343
-0.265406,-0.932837,-0.00180733
-0.205887,-0.950431,-0.00140344
-0.146745,-0.963138,-0.00100125
-0.087914,-0.971389,-0.00060027
-0.0292819,-0.97545,-0.00020001
0.0292819,-0.97545,0.00020001
0.087914,-0.971389,0.00060027
0.146745,-0.963138,0.00100125
0.205887,-0.950431,0.00140344
0.265406,-0.932837,0.00180733
0.325285,-0.909727,0.00221343
0.385348,-0.88023,0.00262225
0.445124,-0.843189,0.00303433
0.503631,-0.797151,0.00345022
0.559033,-0.740467,0.0038705
0.608188,-0.671658,0.00429579
0.646343,-0.590297,0.00472672
0.667444,-0.498162,0.00516398
0.665139,-0.400759,0.00560829
0.636295,-0.307726,0.00606044
0.582259,-0.229121,0.00652126
0.508378,-0.174816,0.00699167
0.423708,-0.15115,0.00747265
0.336048,-0.162285,0.00796528
0.254367,-0.214694,0.00847076
0.193449,-0.317157,0.00899039
0.190608,-0.46231,0.00952561
0.263954,-0.573552,0.0100781
0.384029,-0.603637,0.0106495
0.500059,-0.534812,0.0112421
0.530611,-0.374577,0.0118581
0.4262,-0.263654,0.0125
0.297028,-0.299825,0.0131711
0.249517,-0.461289,0.0138746
0.445828,-0.509694,0.0146148
0.498847,-0.393653,0.0153962
0.331508,-0.307153,0.0162247
0.389424,-0.518038,0.0171067
0.455087,-0.462939,0.0180505
0.419716,-0.475982,0.0190658
0.413536,-0.358441,0.0201647
0.396368,-0.328733,0.0213623
0.422283,-0.387537,0.0226779
0.370521,-0.44758,0.0241363
0.363527,-0.333432,0.0257704
0.294358,-0.4129,0.0276248
0.366577,-0.410134,0.0297617
0.370465,-0.474088,0.0322714
0.362734,-0.456595,0.0352904
0.393184,-0.39847,0.0390385
0.368217,-0.396597,0.0438969
0.379459,-0.404054,0.050604
0.409539,-0.42743,0.0608487
0.355485,-0.420497,0.0798009
0.37385,-0.416471,0.140358
