x,y,gamma
-0.389399,-0.351984,-0.140358
-0.380914,-0.348639,-0.0798009
-0.344966,-0.372393,-0.0608487
-0.404656,-0.34455,-0.050604
-0.35759,-0.342472,-0.0438969
-0.359692,-0.337988,-0.0390385
-0.353034,-0.326554,-0.0352904
-0.422579,-0.393327,-0.0322714
-0.399173,-0.341114,-0.0297617
-0.451117,-0.392408,-0.0276248
-0.365275,-0.442839,-0.0257704
-0.37872,-0.312119,-0.0241363
-0.401545,-0.368668,-0.0226779
-0.325895,-0.409962,-0.0213623
-0.322309,-0.306845,-0.0201647
-0.433805,-0.322048,-0.0190658
-0.28876,-0.314178,-0.0180505
-0.356822,-0.258121,-0.0171067
-0.482098,-0.392451,-0.0162247
-0.336264,-0.468345,-0.0153962
-0.260612,-0.338099,-0.0146148
-0.355942,-0.214645,-0.0138746
-0.49817,-0.272305,-0.0131711
-0.516746,-0.400176,-0.0125
-0.443446,-0.506213,-0.0118581
-0.317186,-0.520024,-0.0112421
-0.224545,-0.44617,-0.0106495
-0.198326,-0.319598,-0.0100781
-0.236275,-0.205322,-0.00952561
-0.310289,-0.13722,-0.00899039
-0.395087,-0.113449,-0.00847076
-0.478725,-0.126836,-0.00796528
-0.552261,-0.171397,-0.00747265
-0.60779,-0.239684,-0.00699167
-0.640437,-0.322896,-0.00652126
-0.648745,-0.411061,-0.00606044
-0.635826,-0.495802,-0.00560829
-0.606745,-0.571892,-0.00516398
-0.567049,-0.637144,-0.00472672
-0.521205,-0.691738,-0.00429579
-0.472203,-0.736887,-0.0038705
-0.421841,-0.774042,-0.00345022
-0.371112,-0.804526,-0.00303433
-0.320515,-0.829417,-0.00262225
-0.270269,-0.849549,-0.00221343
-0.220437,-0.865548,-0.00180733
-0.171001,-0.877876,-0.00140344
-0.121896,-0.886863,-0.00100125
-0.0730371,-0.892737,-0.00060027
-0.0243289,-0.89564,-0.00020001
0.0243289,-0.89564,0.00020001
0.0730371,-0.892737,0.00060027
0.121896,-0.886863,0.00100125
0.171001,-0.877876,0.00140344
0.220437,-0.865548,0.00180733
0.270269,-0.849549,0.00221343
0.320515,-0.829417,0.00262225
0.371112,-0.804526,0.00303433
0.421841,-0.774042,0.00345022
0.472203,-0.736887,0.0038705
0.521205,-0.691738,0.00429579
0.567049,-0.637144,0.00472672
0.606745,-0.571892,0.00516398
0.635826,-0.495802,0.00560829
0.648745,-0.411061,0.00606044
0.640437,-0.322896,0.00652126
0.60779,-0.239684,0.00699167
0.552261,-0.171397,0.00747265
0.478725,-0.126836,0.00796528
0.395087,-0.113449,0.00847076
0.310289,-0.13722,0.00899039
0.236275,-0.205322,0.00952561
0.198326,-0.319598,0.0100781
0.224545,-0.44617,0.0106495
0.317186,-0.520024,0.0112421
0.443446,-0.506213,0.0118581
0.516746,-0.400176,0.0125
0.49817,-0.272305,0.0131711
0.355942,-0.214645,0.0138746
0.260612,-0.338099,0.0146148
0.336264,-0.468345,0.0153962
0.482098,-0.392451,0.0162247
0.356822,-0.258121,0.0171067
0.28876,-0.314178,0.0180505
0.433805,-0.322048,0.0190658
0.322309,-0.306845,0.0201647
0.325895,-0.409962,0.0213623
0.401545,-0.368668,0.0226779
0.37872,-0.312119,0.0241363
0.365275,-0.442839,0.0257704
0.451117,-0.392408,0.0276248
0.399173,-0.341114,0.0297617
0.422579,-0.393327,0.0322714
0.353034,-0.326554,0.0352904
0.359692,-0.337988,0.0390385
0.35759,-0.342472,0.0438969
0.404656,-0.34455,0.050604
0.344966,-0.372393,0.0608487
0.380914,-0.348639,0.0798009
0.389399,-0.351984,0.140358
