x,y,gamma
-0.373659,-0.193762,-0.140358
-0.364759,-0.193134,-0.0798009
-0.37047,-0.183949,-0.0608487
-0.41269,-0.183993,-0.050604
-0.383574,-0.204779,-0.0438969
-0.337261,-0.177271,-0.0390385
-0.349329,-0.169747,-0.0352904
-0.407325,-0.177848,-0.0322714
-0.403742,-0.211488,-0.0297617
-0.423385,-0.134078,-0.0276248
-0.427452,-0.21732,-0.0257704
-0.330455,-0.213357,-0.0241363
-0.410615,-0.128068,-0.0226779
-0.437595,-0.223898,-0.0213623
-0.324597,-0.248582,-0.0201647
-0.311953,-0.125288,-0.0190658
-0.408772,-0.0979849,-0.0180505
-0.482362,-0.168611,-0.0171067
-0.455431,-0.270023,-0.0162247
-0.369096,-0.307664,-0.0153962
-0.286266,-0.270324,-0.0146148
-0.247585,-0.182773,-0.0138746
-0.269492,-0.095208,-0.0131711
-0.326645,-0.0391037,-0.0125
-0.397028,-0.020923,-0.0118581
-0.465065,-0.0352634,-0.0112421
-0.521794,-0.0754638,-0.0106495
-0.560372,-0.133299,-0.0100781
-0.578539,-0.199157,-0.00952561
-0.577941,-0.264579,-0.00899039
-0.563404,-0.323929,-0.00847076
-0.540021,-0.375277,-0.00796528
-0.511627,-0.418699,-0.00747265
-0.480788,-0.455148,-0.00699167
-0.449034,-0.485809,-0.00652126
-0.417195,-0.511764,-0.00606044
-0.385682,-0.5339,-0.00560829
-0.354676,-0.552904,-0.00516398
-0.324226,-0.569302,-0.00472672
-0.294321,-0.583492,-0.00429579
-0.264916,-0.595776,-0.0038705
-0.235954,-0.606383,-0.00345022
-0.207375,-0.61549,-0.00303433
-0.179121,-0.62323,-0.00262225
-0.151137,-0.629708,-0.00221343
-0.123373,-0.635002,-0.00180733
-0.0957834,-0.639173,-0.00140344
-0.0683252,-0.642265,-0.00100125
-0.0409589,-0.64431,-0.00060027
-0.013647,-0.645327,-0.00020001
0.013647,-0.645327,0.00020001
0.0409589,-0.64431,0.00060027
0.0683252,-0.642265,0.00100125
0.0957834,-0.639173,0.00140344
0.123373,-0.635002,0.00180733
0.151137,-0.629708,0.00221343
0.179121,-0.62323,0.00262225
0.207375,-0.61549,0.00303433
0.235954,-0.606383,0.00345022
0.264916,-0.595776,0.0038705
0.294321,-0.583492,0.00429579
0.324226,-0.569302,0.00472672
0.354676,-0.552904,0.00516398
0.385682,-0.5339,0.00560829
0.417195,-0.511764,0.00606044
0.449034,-0.485809,0.00652126
0.480788,-0.455148,0.00699167
0.511627,-0.418699,0.00747265
0.540021,-0.375277,0.00796528
0.563404,-0.323929,0.00847076
0.577941,-0.264579,0.00899039
0.578539,-0.199157,0.00952561
0.560372,-0.133299,0.0100781
0.521794,-0.0754638,0.0106495
0.465065,-0.0352634,0.0112421
0.397028,-0.020923,0.0118581
0.326645,-0.0391037,0.0125
0.269492,-0.095208,0.0131711
0.247585,-0.182773,0.0138746
0.286266,-0.270324,0.0146148
0.369096,-0.307664,0.0153962
0.455431,-0.270023,0.0162247
0.482362,-0.168611,0.0171067
0.408772,-0.0979849,0.0180505
0.311953,-0.125288,0.0190658
0.324597,-0.248582,0.0201647
0.437595,-0.223898,0.0213623
0.410615,-0.128068,0.0226779
0.330455,-0.213357,0.0241363
0.427452,-0.21732,0.0257704
0.423385,-0.134078,0.0276248
0.403742,-0.211488,0.0297617
0.407325,-0.177848,0.0322714
0.349329,-0.169747,0.0352904
0.337261,-0.177271,0.0390385
0.383574,-0.204779,0.0438969
0.41269,-0.183993,0.050604
0.37047,-0.183949,0.0608487
0.364759,-0.193134,0.0798009
0.373659,-0.193762,0.140358
