x,y,gamma
-0.359262,-0.369841,-0.140358
-0.362114,-0.362294,-0.0798009
-0.410612,-0.366537,-0.0608487
-0.36321,-0.382417,-0.050604
-0.394789,-0.369992,-0.0438969
-0.397298,-0.375577,-0.0390385
-0.397304,-0.402131,-0.0352904
-0.420882,-0.325654,-0.0322714
-0.370961,-0.378361,-0.0297617
-0.441667,-0.318925,-0.0276248
-0.447553,-0.423708,-0.0257704
-0.368667,-0.40565,-0.0241363
-0.345875,-0.342913,-0.0226779
-0.417616,-0.444599,-0.0213623
-0.32824,-0.423528,-0.0201647
-0.330872,-0.327614,-0.0190658
-0.298377,-0.429719,-0.0180505
-0.288405,-0.342449,-0.0171067
-0.476468,-0.319607,-0.0162247
-0.418433,-0.490927,-0.0153962
-0.287252,-0.446332,-0.0146148
-0.286683,-0.268067,-0.0138746
-0.440295,-0.241601,-0.0131711
-0.521406,-0.336432,-0.0125
-0.499249,-0.481341,-0.0118581
-0.381161,-0.553028,-0.0112421
-0.265889,-0.520162,-0.0106495
-0.199612,-0.415269,-0.0100781
-0.203242,-0.281228,-0.00952561
-0.262746,-0.182812,-0.00899039
-0.345419,-0.133867,-0.00847076
-0.43195,-0.127327,-0.00796528
-0.51292,-0.154829,-0.00747265
-0.580977,-0.210291,-0.00699167
-0.629389,-0.286892,-0.00652126
-0.653691,-0.375728,-0.00606044
-0.653198,-0.466835,-0.00560829
-0.632013,-0.551783,-0.00516398
-0.596191,-0.626349,-0.00472672
-0.551182,-0.689396,-0.00429579
-0.50109,-0.741635,-0.0038705
-0.448529,-0.784515,-0.00345022
-0.395005,-0.819531,-0.00303433
-0.341324,-0.84797,-0.00262225
-0.287875,-0.870852,-0.00221343
-0.234807,-0.888954,-0.00180733
-0.182142,-0.902851,-0.00140344
-0.12983,-0.912952,-0.00100125
-0.0777873,-0.919541,-0.00060027
-0.0259104,-0.922794,-0.00020001
0.0259104,-0.922794,0.00020001
0.0777873,-0.919541,0.00060027
0.12983,-0.912952,0.00100125
0.182142,-0.902851,0.00140344
0.234807,-0.888954,0.00180733
0.287875,-0.870852,0.00221343
0.341324,-0.84797,0.00262225
0.395005,-0.819531,0.00303433
0.448529,-0.784515,0.00345022
0.50109,-0.741635,0.0038705
0.551182,-0.689396,0.00429579
0.596191,-0.626349,0.00472672
0.632013,-0.551783,0.00516398
0.653198,-0.466835,0.00560829
0.653691,-0.375728,0.00606044
0.629389,-0.286892,0.00652126
0.580977,-0.210291,0.00699167
0.51292,-0.154829,0.00747265
0.43195,-0.127327,0.00796528
0.345419,-0.133867,0.00847076
0.262746,-0.182812,0.00899039
0.203242,-0.281228,0.00952561
0.199612,-0.415269,0.0100781
0.265889,-0.520162,0.0106495
0.381161,-0.553028,0.0112421
0.499249,-0.481341,0.0118581
0.521406,-0.336432,0.0125
0.440295,-0.241601,0.0131711
0.286683,-0.268067,0.0138746
0.287252,-0.446332,0.0146148
0.418433,-0.490927,0.0153962
0.476468,-0.319607,0.0162247
0.288405,-0.342449,0.0171067
0.298377,-0.429719,0.0180505
0.330872,-0.327614,0.0190658
0.32824,-0.423528,0.0201647
0.417616,-0.444599,0.0213623
0.345875,-0.342913,0.0226779
0.368667,-0.40565,0.0241363
0.447553,-0.423708,0.0257704
0.441667,-0.318925,0.0276248
0.370961,-0.378361,0.0297617
0.420882,-0.325654,0.0322714
0.397304,-0.402131,0.0352904
0.397298,-0.375577,0.0390385
0.394789,-0.369992,0.0438969
0.36321,-0.382417,0.050604
0.410612,-0.366537,0.0608487
0.362114,-0.362294,0.0798009
0.359262,-0.369841,0.140358
