x,y,gamma
-0.384038,-0.330833,-0.140358
-0.380924,-0.336324,-0.0798009
-0.391727,-0.285302,-0.0608487
-0.36016,-0.327311,-0.050604
-0.407721,-0.348173,-0.0438969
-0.398585,-0.351286,-0.0390385
-0.411833,-0.353118,-0.0352904
-0.3321,-0.355303,-0.0322714
-0.361445,-0.32928,-0.0297617
-0.365958,-0.412886,-0.0276248
-0.298248,-0.363123,-0.0257704
-0.385085,-0.365916,-0.0241363
-0.384245,-0.313645,-0.0226779
-0.311735,-0.294704,-0.0213623
-0.416368,-0.269152,-0.0201647
-0.401538,-0.39573,-0.0190658
-0.356459,-0.232148,-0.0180505
-0.444484,-0.26935,-0.0171067
-0.422619,-0.439024,-0.0162247
-0.27485,-0.387971,-0.0153962
-0.29512,-0.238814,-0.0146148
-0.433366,-0.20644,-0.0138746
-0.521626,-0.328525,-0.0131711
-0.475516,-0.449525,-0.0125
-0.375845,-0.499883,-0.0118581
-0.261236,-0.460961,-0.0112421
-0.205078,-0.35525,-0.0106495
-0.218933,-0.230586,-0.0100781
-0.280861,-0.145623,-0.00952561
-0.362323,-0.105938,-0.00899039
-0.446147,-0.10624,-0.00847076
-0.522407,-0.138755,-0.00796528
-0.584343,-0.197498,-0.00747265
-0.62485,-0.274608,-0.00699167
-0.641363,-0.359676,-0.00652126
-0.635689,-0.443763,-0.00606044
-0.612676,-0.520438,-0.00560829
-0.57803,-0.587014,-0.00516398
-0.536347,-0.643256,-0.00472672
-0.490867,-0.690112,-0.00429579
-0.443622,-0.728935,-0.0038705
-0.395777,-0.761039,-0.00345022
-0.347944,-0.787529,-0.00303433
-0.300415,-0.809282,-0.00262225
-0.253298,-0.826965,-0.00221343
-0.206601,-0.84108,-0.00180733
-0.160278,-0.851995,-0.00140344
-0.114261,-0.859974,-0.00100125
-0.0684668,-0.865199,-0.00060027
-0.0228072,-0.867784,-0.00020001
0.0228072,-0.867784,0.00020001
0.0684668,-0.865199,0.00060027
0.114261,-0.859974,0.00100125
0.160278,-0.851995,0.00140344
0.206601,-0.84108,0.00180733
0.253298,-0.826965,0.00221343
0.300415,-0.809282,0.00262225
0.347944,-0.787529,0.00303433
0.395777,-0.761039,0.00345022
0.443622,-0.728935,0.0038705
0.490867,-0.690112,0.00429579
0.536347,-0.643256,0.00472672
0.57803,-0.587014,0.00516398
0.612676,-0.520438,0.00560829
0.635689,-0.443763,0.00606044
0.641363,-0.359676,0.00652126
0.62485,-0.274608,0.00699167
0.584343,-0.197498,0.00747265
0.522407,-0.138755,0.00796528
0.446147,-0.10624,0.00847076
0.362323,-0.105938,0.00899039
0.280861,-0.145623,0.00952561
0.218933,-0.230586,0.0100781
0.205078,-0.35525,0.0106495
0.261236,-0.460961,0.0112421
0.375845,-0.499883,0.0118581
0.475516,-0.449525,0.0125
0.521626,-0.328525,0.0131711
0.433366,-0.20644,0.0138746
0.29512,-0.238814,0.0146148
0.27485,-0.387971,0.0153962
0.422619,-0.439024,0.0162247
0.444484,-0.26935,0.0171067
0.356459,-0.232148,0.0180505
0.401538,-0.39573,0.0190658
0.416368,-0.269152,0.0201647
0.311735,-0.294704,0.0213623
0.384245,-0.313645,0.0226779
0.385085,-0.365916,0.0241363
0.298248,-0.363123,0.0257704
0.365958,-0.412886,0.0276248
0.361445,-0.32928,0.0297617
0.3321,-0.355303,0.0322714
0.411833,-0.353118,0.0352904
0.398585,-0.351286,0.0390385
0.407721,-0.348173,0.0438969
0.36016,-0.327311,0.050604
0.391727,-0.285302,0.0608487
0.380924,-0.336324,0.0798009
0.384038,-0.330833,0.140358
