x,y,gamma
-0.368407,-0.267431,-0.140358
-0.354816,-0.267723,-0.0798009
-0.389145,-0.275442,-0.0608487
-0.404622,-0.26476,-0.050604
-0.343855,-0.262966,-0.0438969
-0.4002,-0.256723,-0.0390385
-0.379524,-0.322328,-0.0352904
-0.338791,-0.25769,-0.0322714
-0.393785,-0.271207,-0.0297617
-0.442627,-0.239678,-0.0276248
-0.451054,-0.285803,-0.0257704
-0.407495,-0.239353,-0.0241363
-0.333538,-0.276483,-0.0226779
-0.4037,-0.345364,-0.0213623
-0.301123,-0.268731,-0.0201647
-0.44027,-0.223542,-0.0190658
-0.439778,-0.354151,-0.0180505
-0.295735,-0.327393,-0.0171067
-0.282915,-0.224516,-0.0162247
-0.403348,-0.150029,-0.0153962
-0.494555,-0.235747,-0.0146148
-0.477502,-0.362128,-0.0138746
-0.376123,-0.423059,-0.0131711
-0.275422,-0.385581,-0.0125
-0.22615,-0.296706,-0.0118581
-0.231857,-0.188164,-0.0112421
-0.288376,-0.106206,-0.0106495
-0.366048,-0.0695189,-0.0100781
-0.445292,-0.0713016,-0.00952561
-0.516922,-0.104459,-0.00899039
-0.572074,-0.162111,-0.00847076
-0.605647,-0.234072,-0.00796528
-0.617365,-0.311168,-0.00747265
-0.609896,-0.385634,-0.00699167
-0.588261,-0.452682,-0.00652126
-0.557396,-0.510598,-0.00606044
-0.521197,-0.559517,-0.00560829
-0.482304,-0.600496,-0.00516398
-0.442298,-0.634807,-0.00472672
-0.402048,-0.663605,-0.00429579
-0.361999,-0.687837,-0.0038705
-0.32235,-0.708243,-0.00345022
-0.283166,-0.725389,-0.00303433
-0.244439,-0.739703,-0.00262225
-0.206127,-0.751506,-0.00221343
-0.16817,-0.761039,-0.00180733
-0.130502,-0.768481,-0.00140344
-0.0930585,-0.77396,-0.00100125
-0.0557725,-0.777565,-0.00060027
-0.0185804,-0.779354,-0.00020001
0.0185804,-0.779354,0.00020001
0.0557725,-0.777565,0.00060027
0.0930585,-0.77396,0.00100125
0.130502,-0.768481,0.00140344
0.16817,-0.761039,0.00180733
0.206127,-0.751506,0.00221343
0.244439,-0.739703,0.00262225
0.283166,-0.725389,0.00303433
0.32235,-0.708243,0.00345022
0.361999,-0.687837,0.0038705
0.402048,-0.663605,0.00429579
0.442298,-0.634807,0.00472672
0.482304,-0.600496,0.00516398
0.521197,-0.559517,0.00560829
0.557396,-0.510598,0.00606044
0.588261,-0.452682,0.00652126
0.609896,-0.385634,0.00699167
0.617365,-0.311168,0.00747265
0.605647,-0.234072,0.00796528
0.572074,-0.162111,0.00847076
0.516922,-0.104459,0.00899039
0.445292,-0.0713016,0.00952561
0.366048,-0.0695189,0.0100781
0.288376,-0.106206,0.0106495
0.231857,-0.188164,0.0112421
0.22615,-0.296706,0.0118581
0.275422,-0.385581,0.0125
0.376123,-0.423059,0.0131711
0.477502,-0.362128,0.0138746
0.494555,-0.235747,0.0146148
0.403348,-0.150029,0.0153962
0.282915,-0.224516,0.0162247
0.295735,-0.327393,0.0171067
0.439778,-0.354151,0.0180505
0.44027,-0.223542,0.0190658
0.301123,-0.268731,0.0201647
0.4037,-0.345364,0.0213623
0.333538,-0.276483,0.0226779
0.407495,-0.239353,0.0241363
0.451054,-0.285803,0.0257704
0.442627,-0.239678,0.0276248
0.393785,-0.271207,0.0297617
0.338791,-0.25769,0.0322714
0.379524,-0.322328,0.0352904
0.4002,-0.256723,0.0390385
0.343855,-0.262966,0.0438969
0.404622,-0.26476,0.050604
0.389145,-0.275442,0.0608487
0.354816,-0.267723,0.0798009
0.368407,-0.267431,0.140358
