x,y,gamma
-0.385483,-0.21074,-0.140358
-0.382633,-0.203631,-0.0798009
-0.39729,-0.211738,-0.0608487
-0.352905,-0.212392,-0.050604
-0.36726,-0.209381,-0.0438969
-0.403047,-0.257701,-0.0390385
-0.39629,-0.260674,-0.0352904
-0.366836,-0.226542,-0.0322714
-0.360293,-0.177506,-0.0297617
-0.329249,-0.160664,-0.0276248
-0.393075,-0.151422,-0.0257704
-0.419915,-0.229847,-0.0241363
-0.326204,-0.186866,-0.0226779
-0.420063,-0.147085,-0.0213623
-0.423813,-0.273301,-0.0201647
-0.292133,-0.237523,-0.0190658
-0.316279,-0.144122,-0.0180505
-0.428085,-0.113985,-0.0171067
-0.489382,-0.209219,-0.0162247
-0.449913,-0.300496,-0.0153962
-0.357138,-0.337263,-0.0146148
-0.268649,-0.286262,-0.0138746
-0.24006,-0.192733,-0.0131711
-0.267577,-0.104665,-0.0125
-0.327775,-0.0496019,-0.0118581
-0.400487,-0.0321949,-0.0112421
-0.470945,-0.0478639,-0.0106495
-0.530068,-0.0902619,-0.0100781
-0.570068,-0.151397,-0.00952561
-0.588348,-0.220221,-0.00899039
-0.587627,-0.28825,-0.00847076
-0.572612,-0.350206,-0.00796528
-0.548336,-0.40403,-0.00747265
-0.518679,-0.449716,-0.00699167
-0.486276,-0.488152,-0.00652126
-0.452746,-0.520493,-0.00606044
-0.418995,-0.547838,-0.00560829
-0.385489,-0.571097,-0.00516398
-0.352437,-0.59099,-0.00472672
-0.319909,-0.608069,-0.00429579
-0.287903,-0.622752,-0.0038705
-0.256378,-0.635358,-0.00345022
-0.22528,-0.646127,-0.00303433
-0.19455,-0.655245,-0.00262225
-0.164128,-0.662851,-0.00221343
-0.133959,-0.669051,-0.00180733
-0.103991,-0.673926,-0.00140344
-0.0741735,-0.677535,-0.00100125
-0.0444623,-0.679919,-0.00060027
-0.0148139,-0.681105,-0.00020001
0.0148139,-0.681105,0.00020001
0.0444623,-0.679919,0.00060027
0.0741735,-0.677535,0.00100125
0.103991,-0.673926,0.00140344
0.133959,-0.669051,0.00180733
0.164128,-0.662851,0.00221343
0.19455,-0.655245,0.00262225
0.22528,-0.646127,0.00303433
0.256378,-0.635358,0.00345022
0.287903,-0.622752,0.0038705
0.319909,-0.608069,0.00429579
0.352437,-0.59099,0.00472672
0.385489,-0.571097,0.00516398
0.418995,-0.547838,0.00560829
0.452746,-0.520493,0.00606044
0.486276,-0.488152,0.00652126
0.518679,-0.449716,0.00699167
0.548336,-0.40403,0.00747265
0.572612,-0.350206,0.00796528
0.587627,-0.28825,0.00847076
0.588348,-0.220221,0.00899039
0.570068,-0.151397,0.00952561
0.530068,-0.0902619,0.0100781
0.470945,-0.0478639,0.0106495
0.400487,-0.0321949,0.0112421
0.327775,-0.0496019,0.0118581
0.267577,-0.104665,0.0125
0.24006,-0.192733,0.0131711
0.268649,-0.286262,0.0138746
0.357138,-0.337263,0.0146148
0.449913,-0.300496,0.0153962
0.489382,-0.209219,0.0162247
0.428085,-0.113985,0.0171067
0.316279,-0.144122,0.0180505
0.292133,-0.237523,0.0190658
0.423813,-0.273301,0.0201647
0.420063,-0.147085,0.0213623
0.326204,-0.186866,0.0226779
0.419915,-0.229847,0.0241363
0.393075,-0.151422,0.0257704
0.329249,-0.160664,0.0276248
0.360293,-0.177506,0.0297617
0.366836,-0.226542,0.0322714
0.39629,-0.260674,0.0352904
0.403047,-0.257701,0.0390385
0.36726,-0.209381,0.0438969
0.352905,-0.212392,0.050604
0.39729,-0.211738,0.0608487
0.382633,-0.203631,0.0798009
0.385483,-0.21074,0.140358
