x,y,gamma
-0.401622,-0.0330485,-0.140358
-0.401626,-0.0389722,-0.0798009
-0.398473,-0.0455736,-0.0608487
-0.387264,-0.0220324,-0.050604
-0.424509,-0.0327667,-0.0438969
-0.393654,-0.0662136,-0.0390385
-0.366621,-0.0271301,-0.0352904
-0.404123,0.005536,-0.0322714
-0.444629,-0.0272543,-0.0297617
-0.429608,-0.079043,-0.0276248
-0.379136,-0.0898724,-0.0257704
-0.339973,-0.053843,-0.0241363
-0.339948,-0.00127472,-0.0226779
-0.37163,0.0364009,-0.0213623
-0.415902,0.0472625,-0.0201647
-0.457989,0.0333522,-0.0190658
-0.488045,0.00144039,-0.0180505
-0.502368,-0.0391632,-0.0171067
-0.501857,-0.080648,-0.0162247
-0.490464,-0.1177,-0.0153962
-0.47279,-0.148533,-0.0146148
-0.452203,-0.173439,-0.0138746
-0.430736,-0.193474,-0.0131711
-0.409434,-0.209759,-0.0125
-0.388751,-0.223214,-0.0118581
-0.368838,-0.234525,-0.0112421
-0.349704,-0.24419,-0.0106495
-0.331296,-0.252561,-0.0100781
-0.313539,-0.259896,-0.00952561
-0.296355,-0.266382,-0.00899039
-0.279673,-0.272157,-0.00847076
-0.263429,-0.277326,-0.00796528
-0.247568,-0.281972,-0.00747265
-0.23204,-0.286157,-0.00699167
-0.216805,-0.289932,-0.00652126
-0.201828,-0.293339,-0.00606044
-0.187078,-0.296412,-0.00560829
-0.172527,-0.299179,-0.00516398
-0.158152,-0.301663,-0.00472672
-0.143932,-0.303884,-0.00429579
-0.129847,-0.305858,-0.0038705
-0.115882,-0.3076,-0.00345022
-0.102019,-0.309121,-0.00303433
-0.0882453,-0.310433,-0.00262225
-0.0745463,-0.311542,-0.00221343
-0.0609096,-0.312457,-0.00180733
-0.047323,-0.313182,-0.00140344
-0.0337749,-0.313722,-0.00100125
-0.0202541,-0.31408,-0.00060027
-0.00674957,-0.314259,-0.00020001
0.00674957,-0.314259,0.00020001
0.0202541,-0.31408,0.00060027
0.0337749,-0.313722,0.00100125
0.047323,-0.313182,0.00140344
0.0609096,-0.312457,0.00180733
0.0745463,-0.311542,0.00221343
0.0882453,-0.310433,0.00262225
0.102019,-0.309121,0.00303433
0.115882,-0.3076,0.00345022
0.129847,-0.305858,0.0038705
0.143932,-0.303884,0.00429579
0.158152,-0.301663,0.00472672
0.172527,-0.299179,0.00516398
0.187078,-0.296412,0.00560829
0.201828,-0.293339,0.00606044
0.216805,-0.289932,0.00652126
0.23204,-0.286157,0.00699167
0.247568,-0.281972,0.00747265
0.263429,-0.277326,0.00796528
0.279673,-0.272157,0.00847076
0.296355,-0.266382,0.00899039
0.313539,-0.259896,0.00952561
0.331296,-0.252561,0.0100781
0.349704,-0.24419,0.0106495
0.368838,-0.234525,0.0112421
0.388751,-0.223214,0.0118581
0.409434,-0.209759,0.0125
0.430736,-0.193474,0.0131711
0.452203,-0.173439,0.0138746
0.47279,-0.148533,0.0146148
0.490464,-0.1177,0.0153962
0.501857,-0.080648,0.0162247
0.502368,-0.0391632,0.0171067
0.488045,0.00144039,0.0180505
0.457989,0.0333522,0.0190658
0.415902,0.0472625,0.0201647
0.37163,0.0364009,0.0213623
0.339948,-0.00127472,0.0226779
0.339973,-0.053843,0.0241363
0.379136,-0.0898724,0.0257704
0.429608,-0.079043,0.0276248
0.444629,-0.0272543,0.0297617
0.404123,0.005536,0.0322714
0.366621,-0.0271301,0.0352904
0.393654,-0.0662136,0.0390385
0.424509,-0.0327667,0.0438969
0.387264,-0.0220324,0.050604
0.398473,-0.0455736,0.0608487
0.401626,-0.0389722,0.0798009
0.401622,-0.0330485,0.140358
