x,y,gamma
-0.407264,-0.0107437,-0.140358
-0.411749,-0.01459,-0.0798009
-0.416139,-0.0194762,-0.0608487
-0.400396,-0.0304766,-0.050604
-0.389555,0.000736675,-0.0438969
-0.424125,0.0121714,-0.0390385
-0.443074,-0.022064,-0.0352904
-0.419233,-0.0538616,-0.0322714
-0.379439,-0.0497608,-0.0297617
-0.358113,-0.0124464,-0.0276248
-0.370099,0.0283213,-0.0257704
-0.403711,0.0504768,-0.0241363
-0.442077,0.0483796,-0.0226779
-0.473155,0.0265251,-0.0213623
-0.490358,-0.00712525,-0.0201647
-0.492929,-0.0438436,-0.0190658
-0.484071,-0.0776017,-0.0180505
-0.46827,-0.105706,-0.0171067
-0.449235,-0.12808,-0.0162247
-0.429216,-0.145716,-0.0153962
-0.409357,-0.159748,-0.0146148
-0.390141,-0.171121,-0.0138746
-0.371717,-0.180531,-0.0131711
-0.354078,-0.188467,-0.0125
-0.337159,-0.195272,-0.0118581
-0.320878,-0.201188,-0.0112421
-0.305151,-0.206388,-0.0106495
-0.289906,-0.210997,-0.0100781
-0.275076,-0.21511,-0.00952561
-0.260608,-0.218799,-0.00899039
-0.246455,-0.22212,-0.00847076
-0.232578,-0.225118,-0.00796528
-0.218943,-0.227829,-0.00747265
-0.205521,-0.230283,-0.00699167
-0.192289,-0.232504,-0.00652126
-0.179223,-0.234513,-0.00606044
-0.166307,-0.236327,-0.00560829
-0.153522,-0.237963,-0.00516398
-0.140854,-0.239432,-0.00472672
-0.12829,-0.240746,-0.00429579
-0.115816,-0.241914,-0.0038705
-0.103423,-0.242944,-0.00345022
-0.0910997,-0.243844,-0.00303433
-0.0788363,-0.244619,-0.00262225
-0.0666239,-0.245275,-0.00221343
-0.0544539,-0.245815,-0.00180733
-0.0423181,-0.246244,-0.00140344
-0.0302086,-0.246562,-0.00100125
-0.0181178,-0.246774,-0.00060027
-0.00603803,-0.246879,-0.00020001
0.00603803,-0.246879,0.00020001
0.0181178,-0.246774,0.00060027
0.0302086,-0.246562,0.00100125
0.0423181,-0.246244,0.00140344
0.0544539,-0.245815,0.00180733
0.0666239,-0.245275,0.00221343
0.0788363,-0.244619,0.00262225
0.0910997,-0.243844,0.00303433
0.103423,-0.242944,0.00345022
0.115816,-0.241914,0.0038705
0.12829,-0.240746,0.00429579
0.140854,-0.239432,0.00472672
0.153522,-0.237963,0.00516398
0.166307,-0.236327,0.00560829
0.179223,-0.234513,0.00606044
0.192289,-0.232504,0.00652126
0.205521,-0.230283,0.00699167
0.218943,-0.227829,0.00747265
0.232578,-0.225118,0.00796528
0.246455,-0.22212,0.00847076
0.260608,-0.218799,0.00899039
0.275076,-0.21511,0.00952561
0.289906,-0.210997,0.0100781
0.305151,-0.206388,0.0106495
0.320878,-0.201188,0.0112421
0.337159,-0.195272,0.0118581
0.354078,-0.188467,0.0125
0.371717,-0.180531,0.0131711
0.390141,-0.171121,0.0138746
0.409357,-0.159748,0.0146148
0.429216,-0.145716,0.0153962
0.449235,-0.12808,0.0162247
0.46827,-0.105706,0.0171067
0.484071,-0.0776017,0.0180505
0.492929,-0.0438436,0.0190658
0.490358,-0.00712525,0.0201647
0.473155,0.0265251,0.0213623
0.442077,0.0483796,0.0226779
0.403711,0.0504768,0.0241363
0.370099,0.0283213,0.0257704
0.358113,-0.0124464,0.0276248
0.379439,-0.0497608,0.0297617
0.419233,-0.0538616,0.0322714
0.443074,-0.022064,0.0352904
0.424125,0.0121714,0.0390385
0.389555,0.000736675,0.0438969
0.400396,-0.0304766,0.050604
0.416139,-0.0194762,0.0608487
0.411749,-0.01459,0.0798009
0.407264,-0.0107437,0.140358
