x,y,gamma
-0.386647,-0.434449,-0.140358
-0.402242,-0.451602,-0.0798009
-0.384423,-0.493531,-0.0608487
-0.382399,-0.446515,-0.050604
-0.38432,-0.457132,-0.0438969
-0.427135,-0.427913,-0.0390385
-0.367914,-0.474722,-0.0352904
-0.351433,-0.420042,-0.0322714
-0.394273,-0.442753,-0.0297617
-0.436909,-0.52483,-0.0276248
-0.360633,-0.519486,-0.0257704
-0.410545,-0.453943,-0.0241363
-0.330709,-0.499576,-0.0226779
-0.281471,-0.484993,-0.0213623
-0.310883,-0.495934,-0.0201647
-0.342642,-0.434543,-0.0190658
-0.347139,-0.391931,-0.0180505
-0.482668,-0.415925,-0.0171067
-0.281811,-0.506226,-0.0162247
-0.375912,-0.336992,-0.0153962
-0.460901,-0.379879,-0.0146148
-0.362654,-0.597918,-0.0138746
-0.255072,-0.503258,-0.0131711
-0.296836,-0.319384,-0.0125
-0.434657,-0.303169,-0.0118581
-0.545705,-0.430722,-0.0112421
-0.499568,-0.594136,-0.0106495
-0.374022,-0.654026,-0.0100781
-0.25136,-0.617074,-0.00952561
-0.179997,-0.496393,-0.00899039
-0.186723,-0.345167,-0.00847076
-0.250522,-0.240824,-0.00796528
-0.334437,-0.187256,-0.00747265
-0.424345,-0.175804,-0.00699167
-0.511248,-0.200045,-0.00652126
-0.587218,-0.255191,-0.00606044
-0.64453,-0.335741,-0.00560829
-0.676478,-0.433373,-0.00516398
-0.679864,-0.537463,-0.00472672
-0.656847,-0.636808,-0.00429579
-0.614353,-0.724355,-0.0038705
-0.559407,-0.797821,-0.00345022
-0.49748,-0.857651,-0.00303433
-0.43214,-0.905539,-0.00262225
-0.365424,-0.94335,-0.00221343
-0.298398,-0.972703,-0.00180733
-0.231552,-0.994862,-0.00140344
-0.16505,-1.01076,-0.00100125
-0.098878,-1.02102,-0.00060027
-0.0329328,-1.02606,-0.00020001
0.0329328,-1.02606,0.00020001
0.098878,-1.02102,0.00060027
0.16505,-1.01076,0.00100125
0.231552,-0.994862,0.00140344
0.298398,-0.972703,0.00180733
0.365424,-0.94335,0.00221343
0.43214,-0.905539,0.00262225
0.49748,-0.857651,0.00303433
0.559407,-0.797821,0.00345022
0.614353,-0.724355,0.0038705
0.656847,-0.636808,0.00429579
0.679864,-0.537463,0.00472672
0.676478,-0.433373,0.00516398
0.64453,-0.335741,0.00560829
0.587218,-0.255191,0.00606044
0.511248,-0.200045,0.00652126
0.424345,-0.175804,0.00699167
0.334437,-0.187256,0.00747265
0.250522,-0.240824,0.00796528
0.186723,-0.345167,0.00847076
0.179997,-0.496393,0.00899039
0.25136,-0.617074,0.00952561
0.374022,-0.654026,0.0100781
0.499568,-0.594136,0.0106495
0.545705,-0.430722,0.0112421
0.434657,-0.303169,0.0118581
0.296836,-0.319384,0.0125
0.255072,-0.503258,0.0131711
0.362654,-0.597918,0.0138746
0.460901,-0.379879,0.0146148
0.375912,-0.336992,0.0153962
0.281811,-0.506226,0.0162247
0.482668,-0.415925,0.0171067
0.347139,-0.391931,0.0180505
0.342642,-0.434543,0.0190658
0.310883,-0.495934,0.0201647
0.281471,-0.484993,0.0213623
0.330709,-0.499576,0.0226779
0.410545,-0.453943,0.0241363
0.360633,-0.519486,0.0257704
0.436909,-0.52483,0.0276248
0.394273,-0.442753,0.0297617
0.351433,-0.420042,0.0322714
0.367914,-0.474722,0.0352904
0.427135,-0.427913,0.0390385
0.38432,-0.457132,0.0438969
0.382399,-0.446515,0.050604
0.384423,-0.493531,0.0608487
0.402242,-0.451602,0.0798009
0.386647,-0.434449,0.140358
