x,y,gamma
-0.381469,-0.454196,-0.140358
-0.390882,-0.432519,-0.0798009
-0.351447,-0.411255,-0.0608487
-0.39121,-0.458386,-0.050604
-0.401047,-0.450938,-0.0438969
-0.364922,-0.470342,-0.0390385
-0.409363,-0.419263,-0.0352904
-0.435151,-0.425151,-0.0322714
-0.388635,-0.444218,-0.0297617
-0.34484,-0.516523,-0.0276248
-0.305821,-0.421434,-0.0257704
-0.376532,-0.424422,-0.0241363
-0.335659,-0.394646,-0.0226779
-0.308506,-0.375945,-0.0213623
-0.323762,-0.387956,-0.0201647
-0.430165,-0.40182,-0.0190658
-0.443223,-0.386926,-0.0180505
-0.470416,-0.490288,-0.0171067
-0.27525,-0.393817,-0.0162247
-0.456638,-0.342531,-0.0153962
-0.490307,-0.448851,-0.0146148
-0.294908,-0.548631,-0.0138746
-0.253573,-0.391881,-0.0131711
-0.358382,-0.274037,-0.0125
-0.494728,-0.326626,-0.0118581
-0.537251,-0.488145,-0.0112421
-0.445491,-0.610561,-0.0106495
-0.315665,-0.623941,-0.0100781
-0.213235,-0.547362,-0.00952561
-0.178572,-0.40386,-0.00899039
-0.215906,-0.274321,-0.00847076
-0.291062,-0.195947,-0.00796528
-0.378373,-0.164105,-0.00747265
-0.467257,-0.170678,-0.00699167
-0.54898,-0.210884,-0.00652126
-0.614995,-0.278831,-0.00606044
-0.658722,-0.36726,-0.00560829
-0.675403,-0.466407,-0.00516398
-0.665651,-0.565409,-0.00472672
-0.634102,-0.656203,-0.00429579
-0.587394,-0.734344,-0.0038705
-0.531643,-0.799117,-0.00345022
-0.471111,-0.851702,-0.00303433
-0.408414,-0.893849,-0.00262225
-0.344996,-0.92725,-0.00221343
-0.281574,-0.953294,-0.00180733
-0.218451,-0.973039,-0.00140344
-0.155702,-0.987252,-0.00100125
-0.0932774,-0.996456,-0.00060027
-0.0310677,-1.00098,-0.00020001
0.0310677,-1.00098,0.00020001
0.0932774,-0.996456,0.00060027
0.155702,-0.987252,0.00100125
0.218451,-0.973039,0.00140344
0.281574,-0.953294,0.00180733
0.344996,-0.92725,0.00221343
0.408414,-0.893849,0.00262225
0.471111,-0.851702,0.00303433
0.531643,-0.799117,0.00345022
0.587394,-0.734344,0.0038705
0.634102,-0.656203,0.00429579
0.665651,-0.565409,0.00472672
0.675403,-0.466407,0.00516398
0.658722,-0.36726,0.00560829
0.614995,-0.278831,0.00606044
0.54898,-0.210884,0.00652126
0.467257,-0.170678,0.00699167
0.378373,-0.164105,0.00747265
0.291062,-0.195947,0.00796528
0.215906,-0.274321,0.00847076
0.178572,-0.40386,0.00899039
0.213235,-0.547362,0.00952561
0.315665,-0.623941,0.0100781
0.445491,-0.610561,0.0106495
0.537251,-0.488145,0.0112421
0.494728,-0.326626,0.0118581
0.358382,-0.274037,0.0125
0.253573,-0.391881,0.0131711
0.294908,-0.548631,0.0138746
0.490307,-0.448851,0.0146148
0.456638,-0.342531,0.0153962
0.27525,-0.393817,0.0162247
0.470416,-0.490288,0.0171067
0.443223,-0.386926,0.0180505
0.430165,-0.40182,0.0190658
0.323762,-0.387956,0.0201647
0.308506,-0.375945,0.0213623
0.335659,-0.394646,0.0226779
0.376532,-0.424422,0.0241363
0.305821,-0.421434,0.0257704
0.34484,-0.516523,0.0276248
0.388635,-0.444218,0.0297617
0.435151,-0.425151,0.0322714
0.409363,-0.419263,0.0352904
0.364922,-0.470342,0.0390385
0.401047,-0.450938,0.0438969
0.39121,-0.458386,0.050604
0.351447,-0.411255,0.0608487
0.390882,-0.432519,0.0798009
0.381469,-0.454196,0.140358
