x,y,gamma
-0.385737,-0.240376,-0.140358
-0.393228,-0.249829,-0.0798009
-0.381287,-0.227388,-0.0608487
-0.349988,-0.249034,-0.050604
-0.399765,-0.254939,-0.0438969
-0.35169,-0.262907,-0.0390385
-0.333575,-0.221185,-0.0352904
-0.403564,-0.256876,-0.0322714
-0.368734,-0.228914,-0.0297617
-0.419558,-0.310957,-0.0276248
-0.376671,-0.321518,-0.0257704
-0.388389,-0.294993,-0.0241363
-0.41031,-0.20907,-0.0226779
-0.315927,-0.290993,-0.0213623
-0.36075,-0.168778,-0.0201647
-0.449039,-0.299344,-0.0190658
-0.354018,-0.348219,-0.0180505
-0.282355,-0.213753,-0.0171067
-0.356583,-0.145952,-0.0162247
-0.472603,-0.175363,-0.0153962
-0.489702,-0.305799,-0.0146148
-0.409511,-0.384532,-0.0138746
-0.307095,-0.380009,-0.0131711
-0.236038,-0.298775,-0.0125
-0.23205,-0.194819,-0.0118581
-0.276161,-0.10973,-0.0112421
-0.347155,-0.0636441,-0.0106495
-0.425299,-0.0562324,-0.0100781
-0.497676,-0.0820721,-0.00952561
-0.555606,-0.133261,-0.00899039
-0.593386,-0.20154,-0.00847076
-0.608364,-0.276471,-0.00796528
-0.603902,-0.349083,-0.00747265
-0.585212,-0.414837,-0.00699167
-0.557108,-0.471887,-0.00652126
-0.523514,-0.520245,-0.00606044
-0.487096,-0.560884,-0.00560829
-0.449469,-0.595018,-0.00516398
-0.411547,-0.623771,-0.00472672
-0.373801,-0.648081,-0.00429579
-0.336452,-0.668687,-0.0038705
-0.299576,-0.686157,-0.00345022
-0.263173,-0.700922,-0.00303433
-0.227207,-0.713311,-0.00262225
-0.191622,-0.723569,-0.00221343
-0.156357,-0.731882,-0.00180733
-0.12135,-0.738388,-0.00140344
-0.0865403,-0.743187,-0.00100125
-0.0518693,-0.74635,-0.00060027
-0.0172807,-0.747921,-0.00020001
0.0172807,-0.747921,0.00020001
0.0518693,-0.74635,0.00060027
0.0865403,-0.743187,0.00100125
0.12135,-0.738388,0.00140344
0.156357,-0.731882,0.00180733
0.191622,-0.723569,0.00221343
0.227207,-0.713311,0.00262225
0.263173,-0.700922,0.00303433
0.299576,-0.686157,0.00345022
0.336452,-0.668687,0.0038705
0.373801,-0.648081,0.00429579
0.411547,-0.623771,0.00472672
0.449469,-0.595018,0.00516398
0.487096,-0.560884,0.00560829
0.523514,-0.520245,0.00606044
0.557108,-0.471887,0.00652126
0.585212,-0.414837,0.00699167
0.603902,-0.349083,0.00747265
0.608364,-0.276471,0.00796528
0.593386,-0.20154,0.00847076
0.555606,-0.133261,0.00899039
0.497676,-0.0820721,0.00952561
0.425299,-0.0562324,0.0100781
0.347155,-0.0636441,0.0106495
0.276161,-0.10973,0.0112421
0.23205,-0.194819,0.0118581
0.236038,-0.298775,0.0125
0.307095,-0.380009,0.0131711
0.409511,-0.384532,0.0138746
0.489702,-0.305799,0.0146148
0.472603,-0.175363,0.0153962
0.356583,-0.145952,0.0162247
0.282355,-0.213753,0.0171067
0.354018,-0.348219,0.0180505
0.449039,-0.299344,0.0190658
0.36075,-0.168778,0.0201647
0.315927,-0.290993,0.0213623
0.41031,-0.20907,0.0226779
0.388389,-0.294993,0.0241363
0.376671,-0.321518,0.0257704
0.419558,-0.310957,0.0276248
0.368734,-0.228914,0.0297617
0.403564,-0.256876,0.0322714
0.333575,-0.221185,0.0352904
0.35169,-0.262907,0.0390385
0.399765,-0.254939,0.0438969
0.349988,-0.249034,0.050604
0.381287,-0.227388,0.0608487
0.393228,-0.249829,0.0798009
0.385737,-0.240376,0.140358
