x,y,gamma
-0.387924,-0.417385,-0.0158099
-0.389236,-0.416092,-0.00912614
-0.390035,-0.414644,-0.00706775
-0.390386,-0.413242,-0.00597222
-0.390404,-0.412,-0.00526601
-0.390201,-0.41096,-0.0047624
-0.389868,-0.41012,-0.00437994
-0.389466,-0.409458,-0.00407674
-0.389037,-0.408947,-0.00382871
-0.388604,-0.40856,-0.00362092
-0.388184,-0.408273,-0.00344353
-0.387785,-0.408066,-0.00328979
-0.38741,-0.407922,-0.00315486
-0.387062,-0.407829,-0.0030352
-0.38674,-0.407776,-0.00292811
-0.386443,-0.407756,-0.00283155
-0.38617,-0.40776,-0.00274389
-0.38592,-0.407785,-0.00266383
-0.38569,-0.407826,-0.00259035
-0.38548,-0.40788,-0.00252258
-0.385287,-0.407945,-0.00245982
-0.385111,-0.408017,-0.00240148
-0.38495,-0.408097,-0.00234707
-0.384802,-0.408182,-0.00229615
-0.384667,-0.408271,-0.00224838
-0.384544,-0.408363,-0.00220344
-0.384431,-0.408459,-0.00216105
-0.384329,-0.408557,-0.002121
-0.384236,-0.408656,-0.00208306
-0.384152,-0.408757,-0.00204706
-0.384077,-0.408859,-0.00201285
-0.384009,-0.408963,-0.00198026
-0.383948,-0.409067,-0.00194919
-0.383895,-0.409171,-0.00191951
-0.383848,-0.409276,-0.00189113
-0.383808,-0.409381,-0.00186395
-0.383774,-0.409486,-0.00183789
-0.383746,-0.409592,-0.00181288
-0.383723,-0.409697,-0.00178884
-0.383706,-0.409801,-0.00176572
-0.383694,-0.409906,-0.00174345
-0.383687,-0.41001,-0.00172199
-0.383685,-0.410113,-0.00170129
-0.383688,-0.410215,-0.0016813
-0.383695,-0.410317,-0.00166199
-0.383706,-0.410418,-0.00164331
-0.383722,-0.410517,-0.00162523
-0.383742,-0.410615,-0.00160773
-0.383766,-0.410712,-0.00159077
-0.383793,-0.410808,-0.00157432
-0.383823,-0.410902,-0.00155836
-0.383857,-0.410994,-0.00154286
-0.383894,-0.411085,-0.0015278
-0.383934,-0.411175,-0.00151317
-0.383976,-0.411262,-0.00149894
-0.384021,-0.411348,-0.00148509
-0.384068,-0.411432,-0.00147161
-0.384117,-0.411515,-0.00145848
-0.384167,-0.411595,-0.00144568
-0.384219,-0.411674,-0.00143321
-0.384273,-0.411751,-0.00142104
-0.384327,-0.411827,-0.00140917
-0.384382,-0.411901,-0.00139759
-0.384438,-0.411974,-0.00138627
-0.384494,-0.412046,-0.00137522
-0.38455,-0.412116,-0.00136442
-0.384606,-0.412185,-0.00135387
-0.384662,-0.412253,-0.00134354
