x,y,gamma
-0.392916,-0.0810957,-0.0158099
-0.39282,-0.0814176,-0.00912614
-0.392748,-0.0817308,-0.00706775
-0.392697,-0.0820341,-0.00597222
-0.392666,-0.0823267,-0.00526601
-0.392652,-0.0826081,-0.0047624
-0.392654,-0.0828777,-0.00437994
-0.392669,-0.0831354,-0.00407674
-0.392697,-0.0833811,-0.00382871
-0.392735,-0.0836147,-0.00362092
-0.392783,-0.0838366,-0.00344353
-0.392838,-0.0840468,-0.00328979
-0.392901,-0.0842456,-0.00315486
-0.39297,-0.0844334,-0.0030352
-0.393044,-0.0846104,-0.00292811
-0.393122,-0.084777,-0.00283155
-0.393204,-0.0849337,-0.00274389
-0.393289,-0.0850807,-0.00266383
-0.393377,-0.0852185,-0.00259035
-0.393466,-0.0853475,-0.00252258
-0.393557,-0.0854679,-0.00245982
-0.393649,-0.0855803,-0.00240148
-0.393742,-0.0856849,-0.00234707
-0.393835,-0.0857821,-0.00229615
-0.393928,-0.0858722,-0.00224838
-0.394022,-0.0859556,-0.00220344
-0.394115,-0.0860325,-0.00216105
-0.394208,-0.0861033,-0.002121
-0.3943,-0.0861682,-0.00208306
-0.394392,-0.0862274,-0.00204706
-0.394483,-0.0862813,-0.00201285
-0.394573,-0.0863301,-0.00198026
-0.394662,-0.086374,-0.00194919
-0.39475,-0.0864133,-0.00191951
-0.394837,-0.0864481,-0.00189113
-0.394922,-0.0864786,-0.00186395
-0.395007,-0.086505,-0.00183789
-0.395091,-0.0865276,-0.00181288
-0.395173,-0.0865464,-0.00178884
-0.395254,-0.0865617,-0.00176572
-0.395334,-0.0865736,-0.00174345
-0.395413,-0.0865823,-0.00172199
-0.39549,-0.0865878,-0.00170129
-0.395567,-0.0865904,-0.0016813
-0.395642,-0.0865902,-0.00166199
-0.395716,-0.0865872,-0.00164331
-0.395788,-0.0865817,-0.00162523
-0.39586,-0.0865737,-0.00160773
-0.395931,-0.0865634,-0.00159077
-0.396,-0.0865508,-0.00157432
-0.396068,-0.0865361,-0.00155836
-0.396136,-0.0865194,-0.00154286
-0.396202,-0.0865008,-0.0015278
-0.396268,-0.0864804,-0.00151317
-0.396332,-0.0864582,-0.00149894
-0.396395,-0.0864345,-0.00148509
-0.396458,-0.0864092,-0.00147161
-0.39652,-0.0863824,-0.00145848
-0.396581,-0.0863544,-0.00144568
-0.396641,-0.086325,-0.00143321
-0.396701,-0.0862945,-0.00142104
-0.39676,-0.0862629,-0.00140917
-0.396818,-0.0862304,-0.00139759
-0.396876,-0.0861969,-0.00138627
-0.396933,-0.0861625,-0.00137522
-0.39699,-0.0861275,-0.00136442
-0.397047,-0.0860918,-0.00135387
-0.397102,-0.0860554,-0.00134354
-0.397158,-0.0860186,-0.00133345
-0.397213,-0.0859814,-0.00132356
-0.397269,-0.0859439,-0.00131389
-0.397324,-0.085906,-0.00130442
-0.397378,-0.0858681,-0.00129515
-0.397433,-0.08583,-0.00128606
-0.397488,-0.0857919,-0.00127715
-0.397543,-0.0857539,-0.00126843
-0.397597,-0.085716,-0.00125987
-0.397652,-0.0856784,-0.00125147
-0.397707,-0.0856411,-0.00124324
-0.397763,-0.0856042,-0.00123516
-0.397818,-0.0855678,-0.00122722
-0.397874,-0.085532,-0.00121944
-0.39793,-0.0854968,-0.00121179
-0.397987,-0.0854624,-0.00120428
-0.398044,-0.0854288,-0.00119691
-0.398102,-0.0853961,-0.00118966
-0.39816,-0.0853644,-0.00118253
-0.398218,-0.0853339,-0.00117553
-0.398278,-0.0853045,-0.00116864
-0.398338,-0.0852764,-0.00116187
-0.398398,-0.0852497,-0.00115521
-0.39846,-0.0852245,-0.00114866
-0.398522,-0.0852008,-0.00114222
-0.398585,-0.0851789,-0.00113587
-0.398649,-0.0851587,-0.00112963
-0.398713,-0.0851403,-0.00112348
-0.398779,-0.085124,-0.00111743
-0.398845,-0.0851097,-0.00111147
-0.398912,-0.0850976,-0.0011056
-0.39898,-0.0850878,-0.00109982
-0.399049,-0.0850803,-0.00109412
-0.399119,-0.0850754,-0.00108851
-0.39919,-0.0850731,-0.00108298
-0.399261,-0.0850735,-0.00107752
-0.399334,-0.0850768,-0.00107215
-0.399407,-0.085083,-0.00106685
-0.399481,-0.0850923,-0.00106162
-0.399556,-0.0851048,-0.00105647
-0.399632,-0.0851206,-0.00105139
-0.399709,-0.0851398,-0.00104637
-0.399786,-0.0851626,-0.00104142
-0.399864,-0.0851891,-0.00103654
-0.399943,-0.0852193,-0.00103173
-0.400022,-0.0852535,-0.00102697
-0.400102,-0.0852918,-0.00102228
-0.400182,-0.0853342,-0.00101765
-0.400263,-0.0853809,-0.00101307
-0.400344,-0.085432,-0.00100856
-0.400425,-0.0854878,-0.0010041
-0.400506,-0.0855482,-0.000999693
-0.400587,-0.0856134,-0.000995343
-0.400668,-0.0856836,-0.000991046
-0.400749,-0.0857589,-0.000986801
-0.400829,-0.0858394,-0.000982607
-0.400909,-0.0859253,-0.000978462
-0.400988,-0.0860166,-0.000974366
-0.401066,-0.0861136,-0.000970319
-0.401143,-0.0862163,-0.000966318
-0.401219,-0.0863248,-0.000962363
-0.401293,-0.0864393,-0.000958453
-0.401366,-0.0865599,-0.000954588
-0.401437,-0.0866868,-0.000950766
-0.401506,-0.08682,-0.000946987
-0.401572,-0.0869596,-0.00094325
-0.401636,-0.0871058,-0.000939553
-0.401697,-0.0872586,-0.000935897
-0.401754,-0.0874182,-0.000932281
-0.401808,-0.0875846,-0.000928703
-0.401858,-0.0877579,-0.000925163
-0.401904,-0.0879381,-0.000921661
-0.401945,-0.0881254,-0.000918196
-0.401981,-0.0883197,-0.000914767
-0.402012,-0.0885211,-0.000911373
-0.402037,-0.0887296,-0.000908015
-0.402055,-0.0889452,-0.00090469
-0.402067,-0.0891678,-0.000901399
-0.402071,-0.0893973,-0.000898142
-0.402068,-0.0896338,-0.000894917
-0.402056,-0.0898771,-0.000891724
-0.402035,-0.090127,-0.000888562
-0.402004,-0.0903834,-0.000885432
-0.401964,-0.090646,-0.000882332
-0.401912,-0.0909146,-0.000879261
-0.40185,-0.0911889,-0.000876221
-0.401775,-0.0914685,-0.000873209
-0.401687,-0.091753,-0.000870226
-0.401586,-0.092042,-0.000867271
-0.401471,-0.0923349,-0.000864343
-0.401341,-0.0926312,-0.000861443
-0.401196,-0.0929302,-0.00085857
-0.401035,-0.0932311,-0.000855723
-0.400857,-0.0935333,-0.000852901
-0.400662,-0.0938357,-0.000850106
-0.400448,-0.0941375,-0.000847335
-0.400217,-0.0944376,-0.00084459
-0.399966,-0.0947349,-0.000841868
-0.399695,-0.0950282,-0.000839171
-0.399405,-0.0953163,-0.000836497
-0.399095,-0.0955978,-0.000833847
-0.398764,-0.0958712,-0.00083122
-0.398412,-0.0961352,-0.000828615
-0.39804,-0.0963881,-0.000826033
-0.397647,-0.0966284,-0.000823473
-0.397234,-0.0968544,-0.000820934
-0.396801,-0.0970644,-0.000818417
-0.396348,-0.0972567,-0.00081592
-0.395877,-0.0974297,-0.000813445
-0.395387,-0.0975815,-0.00081099
-0.39488,-0.0977106,-0.000808555
-0.394357,-0.0978153,-0.00080614
-0.393819,-0.097894,-0.000803745
-0.393267,-0.0979451,-0.000801369
-0.392704,-0.0979673,-0.000799013
-0.39213,-0.0979592,-0.000796675
-0.391547,-0.0979197,-0.000794355
-0.390958,-0.0978476,-0.000792055
-0.390365,-0.0977421,-0.000789772
-0.389769,-0.0976024,-0.000787507
-0.389173,-0.0974279,-0.000785259
-0.38858,-0.0972183,-0.000783029
-0.387991,-0.0969733,-0.000780816
-0.387408,-0.096693,-0.00077862
-0.386835,-0.0963775,-0.000776441
-0.386274,-0.0960272,-0.000774278
-0.385726,-0.0956426,-0.000772132
-0.385194,-0.0952246,-0.000770002
-0.384681,-0.094774,-0.000767887
-0.384188,-0.0942918,-0.000765788
-0.383717,-0.0937794,-0.000763705
-0.383271,-0.0932381,-0.000761637
-0.38285,-0.0926693,-0.000759584
-0.382458,-0.0920747,-0.000757546
-0.382094,-0.0914559,-0.000755523
-0.381761,-0.0908146,-0.000753514
-0.381459,-0.0901528,-0.00075152
-0.38119,-0.0894723,-0.000749539
-0.380955,-0.0887748,-0.000747573
-0.380754,-0.0880625,-0.000745621
-0.380589,-0.0873371,-0.000743682
-0.38046,-0.0866007,-0.000741757
-0.380367,-0.0858551,-0.000739846
-0.38031,-0.0851022,-0.000737947
-0.38029,-0.0843439,-0.000736062
-0.380308,-0.083582,-0.000734189
-0.380363,-0.0828185,-0.000732329
-0.380454,-0.082055,-0.000730482
-0.380584,-0.0812934,-0.000728647
-0.38075,-0.0805353,-0.000726825
-0.380953,-0.0797826,-0.000725015
-0.381192,-0.0790369,-0.000723216
-0.381469,-0.0782998,-0.00072143
-0.381781,-0.0775732,-0.000719655
-0.382129,-0.0768586,-0.000717893
-0.382513,-0.0761576,-0.000716141
-0.382932,-0.075472,-0.000714401
