x,y,gamma
-0.395403,-0.0600421,-0.0158099
-0.395468,-0.0603254,-0.00912614
-0.395544,-0.0605941,-0.00706775
-0.395631,-0.0608484,-0.00597222
-0.395727,-0.0610884,-0.00526601
-0.39583,-0.0613145,-0.0047624
-0.39594,-0.0615271,-0.00437994
-0.396054,-0.0617265,-0.00407674
-0.396173,-0.0619132,-0.00382871
-0.396296,-0.0620876,-0.00362092
-0.396421,-0.0622502,-0.00344353
-0.396548,-0.0624016,-0.00328979
-0.396676,-0.0625422,-0.00315486
-0.396805,-0.0626724,-0.0030352
-0.396935,-0.0627928,-0.00292811
-0.397064,-0.0629039,-0.00283155
-0.397193,-0.063006,-0.00274389
-0.39732,-0.0630997,-0.00266383
-0.397447,-0.0631852,-0.00259035
-0.397573,-0.0632632,-0.00252258
-0.397697,-0.0633339,-0.00245982
-0.397819,-0.0633976,-0.00240148
-0.397939,-0.0634549,-0.00234707
-0.398058,-0.0635059,-0.00229615
-0.398174,-0.063551,-0.00224838
-0.398288,-0.0635906,-0.00220344
-0.3984,-0.0636248,-0.00216105
-0.39851,-0.063654,-0.002121
-0.398617,-0.0636784,-0.00208306
-0.398722,-0.0636983,-0.00204706
-0.398824,-0.0637139,-0.00201285
-0.398925,-0.0637254,-0.00198026
-0.399022,-0.063733,-0.00194919
-0.399118,-0.0637369,-0.00191951
-0.399211,-0.0637373,-0.00189113
-0.399302,-0.0637343,-0.00186395
-0.399391,-0.0637282,-0.00183789
-0.399477,-0.063719,-0.00181288
-0.399561,-0.063707,-0.00178884
-0.399643,-0.0636923,-0.00176572
-0.399723,-0.0636749,-0.00174345
-0.3998,-0.0636551,-0.00172199
-0.399876,-0.0636329,-0.00170129
-0.399949,-0.0636085,-0.0016813
-0.400021,-0.063582,-0.00166199
-0.40009,-0.0635534,-0.00164331
-0.400158,-0.063523,-0.00162523
-0.400224,-0.0634907,-0.00160773
-0.400288,-0.0634566,-0.00159077
-0.400351,-0.0634209,-0.00157432
-0.400412,-0.0633836,-0.00155836
-0.400471,-0.0633449,-0.00154286
-0.400529,-0.0633047,-0.0015278
-0.400585,-0.0632632,-0.00151317
-0.40064,-0.0632205,-0.00149894
-0.400693,-0.0631766,-0.00148509
-0.400745,-0.0631315,-0.00147161
-0.400796,-0.0630854,-0.00145848
-0.400846,-0.0630383,-0.00144568
-0.400895,-0.0629902,-0.00143321
-0.400942,-0.0629413,-0.00142104
-0.400989,-0.0628916,-0.00140917
-0.401034,-0.0628412,-0.00139759
-0.401079,-0.06279,-0.00138627
-0.401123,-0.0627382,-0.00137522
-0.401166,-0.0626859,-0.00136442
-0.401209,-0.062633,-0.00135387
-0.401251,-0.0625796,-0.00134354
-0.401292,-0.0625258,-0.00133345
-0.401333,-0.0624716,-0.00132356
-0.401374,-0.0624171,-0.00131389
-0.401414,-0.0623623,-0.00130442
-0.401454,-0.0623073,-0.00129515
-0.401493,-0.0622521,-0.00128606
-0.401533,-0.0621968,-0.00127715
-0.401572,-0.0621414,-0.00126843
-0.401612,-0.062086,-0.00125987
-0.401651,-0.0620307,-0.00125147
-0.401691,-0.0619754,-0.00124324
-0.401731,-0.0619202,-0.00123516
-0.401771,-0.0618652,-0.00122722
-0.401812,-0.0618105,-0.00121944
-0.401852,-0.061756,-0.00121179
-0.401894,-0.0617019,-0.00120428
-0.401936,-0.0616481,-0.00119691
-0.401978,-0.0615948,-0.00118966
-0.402021,-0.061542,-0.00118253
-0.402065,-0.0614898,-0.00117553
-0.402109,-0.0614381,-0.00116864
-0.402155,-0.0613871,-0.00116187
-0.402201,-0.0613369,-0.00115521
-0.402248,-0.0612874,-0.00114866
-0.402297,-0.0612388,-0.00114222
-0.402346,-0.0611911,-0.00113587
-0.402396,-0.0611444,-0.00112963
-0.402448,-0.0610987,-0.00112348
-0.402501,-0.0610541,-0.00111743
-0.402555,-0.0610107,-0.00111147
-0.402611,-0.0609686,-0.0011056
-0.402667,-0.0609277,-0.00109982
-0.402726,-0.0608883,-0.00109412
-0.402786,-0.0608503,-0.00108851
-0.402847,-0.0608139,-0.00108298
-0.40291,-0.0607791,-0.00107752
-0.402974,-0.060746,-0.00107215
-0.40304,-0.0607148,-0.00106685
-0.403108,-0.0606854,-0.00106162
-0.403178,-0.0606579,-0.00105647
-0.403249,-0.0606325,-0.00105139
-0.403322,-0.0606093,-0.00104637
-0.403397,-0.0605884,-0.00104142
-0.403473,-0.0605697,-0.00103654
-0.403552,-0.0605535,-0.00103173
-0.403632,-0.0605399,-0.00102697
-0.403714,-0.0605289,-0.00102228
-0.403798,-0.0605207,-0.00101765
-0.403883,-0.0605153,-0.00101307
-0.403971,-0.0605129,-0.00100856
-0.40406,-0.0605136,-0.0010041
-0.404152,-0.0605174,-0.000999693
-0.404245,-0.0605247,-0.000995343
-0.404339,-0.0605353,-0.000991046
-0.404436,-0.0605495,-0.000986801
-0.404534,-0.0605674,-0.000982607
-0.404634,-0.0605892,-0.000978462
-0.404736,-0.0606149,-0.000974366
-0.404839,-0.0606446,-0.000970319
-0.404944,-0.0606786,-0.000966318
-0.405051,-0.060717,-0.000962363
-0.405158,-0.0607598,-0.000958453
-0.405268,-0.0608073,-0.000954588
-0.405378,-0.0608596,-0.000950766
-0.40549,-0.0609168,-0.000946987
-0.405603,-0.0609791,-0.00094325
-0.405716,-0.0610466,-0.000939553
-0.405831,-0.0611195,-0.000935897
-0.405947,-0.0611979,-0.000932281
-0.406063,-0.061282,-0.000928703
-0.406179,-0.061372,-0.000925163
-0.406296,-0.061468,-0.000921661
-0.406414,-0.0615702,-0.000918196
-0.406531,-0.0616787,-0.000914767
-0.406648,-0.0617937,-0.000911373
-0.406765,-0.0619153,-0.000908015
-0.406881,-0.0620437,-0.00090469
-0.406996,-0.0621791,-0.000901399
-0.40711,-0.0623215,-0.000898142
-0.407223,-0.0624713,-0.000894917
-0.407335,-0.0626284,-0.000891724
-0.407444,-0.0627931,-0.000888562
-0.407552,-0.0629654,-0.000885432
-0.407656,-0.0631456,-0.000882332
-0.407758,-0.0633337,-0.000879261
-0.407857,-0.0635298,-0.000876221
-0.407952,-0.0637341,-0.000873209
-0.408044,-0.0639466,-0.000870226
-0.40813,-0.0641674,-0.000867271
-0.408212,-0.0643966,-0.000864343
-0.408289,-0.0646342,-0.000861443
-0.40836,-0.0648803,-0.00085857
-0.408425,-0.0651348,-0.000855723
-0.408482,-0.0653977,-0.000852901
-0.408533,-0.065669,-0.000850106
-0.408575,-0.0659486,-0.000847335
-0.408609,-0.0662363,-0.00084459
-0.408634,-0.0665322,-0.000841868
-0.408649,-0.0668359,-0.000839171
-0.408654,-0.0671473,-0.000836497
-0.408648,-0.0674661,-0.000833847
-0.40863,-0.0677919,-0.00083122
-0.408599,-0.0681246,-0.000828615
-0.408556,-0.0684636,-0.000826033
-0.408499,-0.0688085,-0.000823473
-0.408428,-0.0691588,-0.000820934
-0.408341,-0.0695139,-0.000818417
-0.408239,-0.0698733,-0.00081592
-0.408121,-0.0702361,-0.000813445
-0.407986,-0.0706018,-0.00081099
-0.407833,-0.0709694,-0.000808555
-0.407663,-0.0713382,-0.00080614
-0.407473,-0.0717072,-0.000803745
-0.407265,-0.0720753,-0.000801369
-0.407037,-0.0724416,-0.000799013
-0.40679,-0.072805,-0.000796675
-0.406522,-0.0731644,-0.000794355
-0.406234,-0.0735184,-0.000792055
-0.405926,-0.0738659,-0.000789772
-0.405596,-0.0742056,-0.000787507
-0.405247,-0.0745361,-0.000785259
-0.404877,-0.0748563,-0.000783029
-0.404486,-0.0751646,-0.000780816
-0.404076,-0.0754597,-0.00077862
-0.403646,-0.0757402,-0.000776441
-0.403197,-0.0760049,-0.000774278
-0.40273,-0.0762523,-0.000772132
-0.402245,-0.0764812,-0.000770002
-0.401742,-0.0766902,-0.000767887
-0.401224,-0.0768782,-0.000765788
-0.400691,-0.0770439,-0.000763705
-0.400143,-0.0771862,-0.000761637
-0.399583,-0.0773041,-0.000759584
-0.399011,-0.0773965,-0.000757546
