x,y,gamma
-0.392752,-0.175263,-0.0158099
-0.392416,-0.174807,-0.00912614
-0.392057,-0.174418,-0.00706775
-0.391685,-0.17409,-0.00597222
-0.391308,-0.173821,-0.00526601
-0.390933,-0.173603,-0.0047624
-0.390566,-0.173432,-0.00437994
-0.39021,-0.173301,-0.00407674
-0.389868,-0.173207,-0.00382871
-0.389541,-0.173143,-0.00362092
-0.389232,-0.173106,-0.00344353
-0.38894,-0.173092,-0.00328979
-0.388665,-0.173096,-0.00315486
-0.388407,-0.173117,-0.0030352
-0.388166,-0.173152,-0.00292811
-0.387942,-0.173197,-0.00283155
-0.387733,-0.173252,-0.00274389
-0.387538,-0.173314,-0.00266383
-0.387357,-0.173383,-0.00259035
-0.38719,-0.173457,-0.00252258
-0.387035,-0.173534,-0.00245982
-0.386892,-0.173615,-0.00240148
-0.38676,-0.173698,-0.00234707
-0.386638,-0.173783,-0.00229615
-0.386526,-0.173869,-0.00224838
-0.386423,-0.173956,-0.00220344
-0.386328,-0.174043,-0.00216105
-0.386242,-0.17413,-0.002121
-0.386163,-0.174217,-0.00208306
-0.386092,-0.174304,-0.00204706
-0.386027,-0.174391,-0.00201285
-0.385969,-0.174477,-0.00198026
-0.385916,-0.174562,-0.00194919
-0.38587,-0.174646,-0.00191951
-0.385829,-0.17473,-0.00189113
-0.385793,-0.174812,-0.00186395
-0.385762,-0.174894,-0.00183789
-0.385735,-0.174974,-0.00181288
-0.385713,-0.175054,-0.00178884
-0.385696,-0.175132,-0.00176572
-0.385682,-0.175209,-0.00174345
-0.385672,-0.175286,-0.00172199
-0.385666,-0.175361,-0.00170129
-0.385663,-0.175435,-0.0016813
-0.385663,-0.175508,-0.00166199
-0.385667,-0.17558,-0.00164331
-0.385673,-0.175651,-0.00162523
-0.385683,-0.175721,-0.00160773
-0.385695,-0.17579,-0.00159077
-0.385709,-0.175858,-0.00157432
-0.385726,-0.175925,-0.00155836
-0.385745,-0.17599,-0.00154286
-0.385767,-0.176056,-0.0015278
-0.38579,-0.17612,-0.00151317
-0.385815,-0.176183,-0.00149894
-0.385842,-0.176246,-0.00148509
-0.385871,-0.176307,-0.00147161
-0.385901,-0.176368,-0.00145848
-0.385932,-0.176428,-0.00144568
-0.385965,-0.176488,-0.00143321
-0.385999,-0.176547,-0.00142104
-0.386034,-0.176605,-0.00140917
-0.38607,-0.176663,-0.00139759
-0.386106,-0.17672,-0.00138627
-0.386143,-0.176777,-0.00137522
-0.386181,-0.176833,-0.00136442
-0.386219,-0.176889,-0.00135387
-0.386257,-0.176945,-0.00134354
-0.386296,-0.177001,-0.00133345
-0.386334,-0.177056,-0.00132356
-0.386373,-0.177111,-0.00131389
-0.386411,-0.177166,-0.00130442
-0.386449,-0.177221,-0.00129515
-0.386486,-0.177276,-0.00128606
-0.386523,-0.177331,-0.00127715
-0.386558,-0.177386,-0.00126843
-0.386593,-0.177441,-0.00125987
-0.386627,-0.177497,-0.00125147
-0.38666,-0.177552,-0.00124324
-0.386691,-0.177608,-0.00123516
-0.386721,-0.177665,-0.00122722
-0.38675,-0.177722,-0.00121944
-0.386776,-0.177779,-0.00121179
-0.386801,-0.177837,-0.00120428
-0.386823,-0.177895,-0.00119691
-0.386843,-0.177953,-0.00118966
-0.386861,-0.178012,-0.00118253
-0.386877,-0.178072,-0.00117553
-0.386889,-0.178132,-0.00116864
-0.386899,-0.178193,-0.00116187
-0.386905,-0.178254,-0.00115521
-0.386909,-0.178316,-0.00114866
-0.386909,-0.178378,-0.00114222
-0.386905,-0.178441,-0.00113587
-0.386898,-0.178504,-0.00112963
-0.386887,-0.178568,-0.00112348
-0.386871,-0.178631,-0.00111743
-0.386852,-0.178695,-0.00111147
-0.386828,-0.178759,-0.0011056
-0.386799,-0.178823,-0.00109982
-0.386765,-0.178887,-0.00109412
-0.386726,-0.178951,-0.00108851
-0.386682,-0.179015,-0.00108298
-0.386633,-0.179078,-0.00107752
-0.386578,-0.17914,-0.00107215
-0.386517,-0.179201,-0.00106685
-0.38645,-0.179262,-0.00106162
-0.386377,-0.179321,-0.00105647
-0.386297,-0.179378,-0.00105139
-0.386211,-0.179434,-0.00104637
-0.386118,-0.179488,-0.00104142
-0.386019,-0.179539,-0.00103654
-0.385912,-0.179588,-0.00103173
-0.385797,-0.179633,-0.00102697
-0.385676,-0.179675,-0.00102228
-0.385546,-0.179714,-0.00101765
-0.385409,-0.179747,-0.00101307
-0.385265,-0.179777,-0.00100856
-0.385112,-0.179801,-0.0010041
-0.38495,-0.179819,-0.000999693
-0.384781,-0.17983,-0.000995343
-0.384604,-0.179835,-0.000991046
-0.384418,-0.179832,-0.000986801
-0.384223,-0.17982,-0.000982607
-0.384021,-0.179799,-0.000978462
-0.38381,-0.179769,-0.000974366
-0.383591,-0.179727,-0.000970319
-0.383365,-0.179673,-0.000966318
-0.38313,-0.179607,-0.000962363
-0.382888,-0.179526,-0.000958453
