x,y,gamma
-0.384333,-0.24679,-0.0158099
-0.385086,-0.246512,-0.00912614
-0.385736,-0.246151,-0.00706775
-0.386282,-0.245735,-0.00597222
-0.386728,-0.245289,-0.00526601
-0.387084,-0.244831,-0.0047624
-0.387359,-0.244376,-0.00437994
-0.387564,-0.243932,-0.00407674
-0.387711,-0.243508,-0.00382871
-0.387808,-0.243107,-0.00362092
-0.387864,-0.242731,-0.00344353
-0.387887,-0.242381,-0.00328979
-0.387882,-0.242057,-0.00315486
-0.387856,-0.241758,-0.0030352
-0.387812,-0.241484,-0.00292811
-0.387754,-0.241232,-0.00283155
-0.387686,-0.241002,-0.00274389
-0.387609,-0.240792,-0.00266383
-0.387526,-0.240599,-0.00259035
-0.387438,-0.240424,-0.00252258
-0.387346,-0.240265,-0.00245982
-0.387252,-0.24012,-0.00240148
-0.387157,-0.239988,-0.00234707
-0.387061,-0.239868,-0.00229615
-0.386964,-0.23976,-0.00224838
-0.386868,-0.239663,-0.00220344
-0.386771,-0.239575,-0.00216105
-0.386676,-0.239496,-0.002121
-0.386581,-0.239426,-0.00208306
-0.386488,-0.239364,-0.00204706
-0.386396,-0.239309,-0.00201285
-0.386304,-0.239261,-0.00198026
-0.386215,-0.239219,-0.00194919
-0.386126,-0.239184,-0.00191951
-0.386039,-0.239154,-0.00189113
-0.385953,-0.23913,-0.00186395
-0.385869,-0.239111,-0.00183789
-0.385786,-0.239097,-0.00181288
-0.385705,-0.239087,-0.00178884
-0.385625,-0.239082,-0.00176572
-0.385546,-0.239081,-0.00174345
-0.385469,-0.239084,-0.00172199
-0.385393,-0.239091,-0.00170129
-0.385318,-0.239101,-0.0016813
-0.385245,-0.239115,-0.00166199
-0.385173,-0.239132,-0.00164331
-0.385102,-0.239152,-0.00162523
-0.385033,-0.239175,-0.00160773
-0.384965,-0.2392,-0.00159077
-0.384898,-0.239229,-0.00157432
-0.384833,-0.239259,-0.00155836
-0.384768,-0.239293,-0.00154286
-0.384705,-0.239328,-0.0015278
-0.384643,-0.239365,-0.00151317
-0.384581,-0.239404,-0.00149894
-0.384521,-0.239445,-0.00148509
-0.384462,-0.239488,-0.00147161
-0.384404,-0.239532,-0.00145848
-0.384347,-0.239577,-0.00144568
-0.384291,-0.239624,-0.00143321
-0.384235,-0.239671,-0.00142104
-0.384181,-0.23972,-0.00140917
-0.384127,-0.239769,-0.00139759
-0.384073,-0.239819,-0.00138627
-0.384021,-0.239869,-0.00137522
-0.383969,-0.239919,-0.00136442
-0.383917,-0.23997,-0.00135387
-0.383865,-0.240021,-0.00134354
-0.383814,-0.240071,-0.00133345
-0.383763,-0.240121,-0.00132356
-0.383713,-0.240171,-0.00131389
-0.383662,-0.24022,-0.00130442
-0.383612,-0.240268,-0.00129515
-0.383561,-0.240315,-0.00128606
-0.38351,-0.240362,-0.00127715
-0.383459,-0.240407,-0.00126843
-0.383408,-0.24045,-0.00125987
-0.383356,-0.240492,-0.00125147
-0.383304,-0.240532,-0.00124324
-0.383251,-0.24057,-0.00123516
-0.383198,-0.240606,-0.00122722
-0.383145,-0.24064,-0.00121944
-0.38309,-0.240671,-0.00121179
-0.383035,-0.240699,-0.00120428
-0.38298,-0.240724,-0.00119691
-0.382923,-0.240746,-0.00118966
-0.382866,-0.240765,-0.00118253
-0.382808,-0.240781,-0.00117553
-0.38275,-0.240792,-0.00116864
-0.382691,-0.240799,-0.00116187
-0.382631,-0.240803,-0.00115521
-0.382571,-0.240801,-0.00114866
-0.38251,-0.240795,-0.00114222
-0.382448,-0.240784,-0.00113587
-0.382387,-0.240768,-0.00112963
-0.382325,-0.240747,-0.00112348
-0.382263,-0.24072,-0.00111743
-0.382201,-0.240686,-0.00111147
-0.382139,-0.240647,-0.0011056
-0.382078,-0.240601,-0.00109982
-0.382017,-0.240549,-0.00109412
-0.381958,-0.240489,-0.00108851
-0.3819,-0.240423,-0.00108298
-0.381843,-0.240348,-0.00107752
-0.381788,-0.240266,-0.00107215
-0.381735,-0.240176,-0.00106685
-0.381685,-0.240078,-0.00106162
-0.381638,-0.239972,-0.00105647
-0.381595,-0.239856,-0.00105139
-0.381555,-0.239732,-0.00104637
-0.381521,-0.239598,-0.00104142
-0.381491,-0.239455,-0.00103654
-0.381468,-0.239302,-0.00103173
-0.381451,-0.239139,-0.00102697
-0.381442,-0.238966,-0.00102228
-0.381441,-0.238783,-0.00101765
-0.381449,-0.23859,-0.00101307
-0.381468,-0.238386,-0.00100856
-0.381498,-0.238173,-0.0010041
-0.381541,-0.237949,-0.000999693
-0.381598,-0.237714,-0.000995343
-0.381671,-0.23747,-0.000991046
-0.38176,-0.237217,-0.000986801
-0.381868,-0.236955,-0.000982607
-0.381997,-0.236684,-0.000978462
-0.382148,-0.236406,-0.000974366
-0.382323,-0.236122,-0.000970319
-0.382525,-0.235834,-0.000966318
-0.382755,-0.235542,-0.000962363
-0.383017,-0.23525,-0.000958453
-0.383311,-0.23496,-0.000954588
-0.383641,-0.234675,-0.000950766
-0.384008,-0.234399,-0.000946987
-0.384414,-0.234136,-0.00094325
-0.384861,-0.233891,-0.000939553
-0.38535,-0.233669,-0.000935897
-0.385881,-0.233477,-0.000932281
-0.386453,-0.233321,-0.000928703
-0.387066,-0.233208,-0.000925163
-0.387717,-0.233146,-0.000921661
-0.388401,-0.233144,-0.000918196
-0.389115,-0.233207,-0.000914767
-0.389851,-0.233344,-0.000911373
-0.3906,-0.233562,-0.000908015
-0.391354,-0.233865,-0.00090469
-0.3921,-0.234259,-0.000901399
-0.392826,-0.234744,-0.000898142
-0.393519,-0.235323,-0.000894917
-0.394167,-0.235991,-0.000891724
-0.394755,-0.236746,-0.000888562
-0.395271,-0.23758,-0.000885432
-0.395703,-0.238484,-0.000882332
-0.396042,-0.239447,-0.000879261
-0.39628,-0.240458,-0.000876221
-0.39641,-0.241503,-0.000873209
-0.39643,-0.242568,-0.000870226
-0.396338,-0.24364,-0.000867271
-0.396134,-0.244706,-0.000864343
-0.39582,-0.245751,-0.000861443
-0.395402,-0.246767,-0.00085857
-0.394882,-0.24774,-0.000855723
-0.394268,-0.248663,-0.000852901
-0.393565,-0.249527,-0.000850106
-0.392779,-0.250324,-0.000847335
-0.391919,-0.251048,-0.00084459
-0.390989,-0.251693,-0.000841868
-0.389998,-0.252254,-0.000839171
-0.388951,-0.252725,-0.000836497
-0.387857,-0.253102,-0.000833847
-0.386721,-0.25338,-0.00083122
-0.385553,-0.253553,-0.000828615
-0.38436,-0.253618,-0.000826033
-0.383152,-0.25357,-0.000823473
-0.381938,-0.253406,-0.000820934
-0.38073,-0.253121,-0.000818417
-0.379539,-0.252714,-0.00081592
-0.378379,-0.252184,-0.000813445
-0.377263,-0.251531,-0.00081099
-0.376205,-0.250759,-0.000808555
-0.37522,-0.24987,-0.00080614
-0.374321,-0.248873,-0.000803745
-0.373522,-0.247775,-0.000801369
-0.372835,-0.246587,-0.000799013
-0.37227,-0.245322,-0.000796675
-0.371837,-0.243994,-0.000794355
-0.371543,-0.242617,-0.000792055
-0.371392,-0.241208,-0.000789772
-0.371387,-0.239782,-0.000787507
-0.371529,-0.238356,-0.000785259
-0.371817,-0.236946,-0.000783029
-0.372248,-0.235565,-0.000780816
-0.372817,-0.234229,-0.00077862
-0.373519,-0.232951,-0.000776441
-0.374348,-0.231744,-0.000774278
-0.375296,-0.230618,-0.000772132
-0.376355,-0.229586,-0.000770002
-0.377517,-0.228656,-0.000767887
-0.378773,-0.22784,-0.000765788
-0.380113,-0.227145,-0.000763705
-0.381527,-0.22658,-0.000761637
-0.383002,-0.226155,-0.000759584
-0.384528,-0.225875,-0.000757546
-0.386091,-0.225749,-0.000755523
-0.387677,-0.225782,-0.000753514
-0.38927,-0.225979,-0.00075152
-0.390854,-0.226344,-0.000749539
-0.392412,-0.226879,-0.000747573
-0.393924,-0.227584,-0.000745621
-0.395372,-0.228457,-0.000743682
-0.396736,-0.229493,-0.000741757
-0.397997,-0.230686,-0.000739846
-0.399134,-0.232025,-0.000737947
-0.40013,-0.233497,-0.000736062
-0.400968,-0.235088,-0.000734189
-0.401632,-0.236777,-0.000732329
-0.40211,-0.238546,-0.000730482
-0.402393,-0.240373,-0.000728647
-0.402473,-0.242232,-0.000726825
-0.402347,-0.244102,-0.000725015
-0.402014,-0.245957,-0.000723216
-0.401476,-0.247773,-0.00072143
-0.40074,-0.249527,-0.000719655
-0.399813,-0.251196,-0.000717893
-0.398706,-0.252761,-0.000716141
-0.397432,-0.254201,-0.000714401
-0.396004,-0.2555,-0.000712672
-0.394439,-0.256642,-0.000710955
-0.392752,-0.257613,-0.000709248
-0.390963,-0.258401,-0.000707552
-0.38909,-0.258994,-0.000705867
-0.387153,-0.259385,-0.000704193
-0.385173,-0.259566,-0.000702529
-0.383171,-0.259531,-0.000700876
-0.38117,-0.259276,-0.000699233
-0.379193,-0.2588,-0.0006976
-0.377264,-0.258104,-0.000695977
-0.375408,-0.257191,-0.000694365
-0.37365,-0.256067,-0.000692762
-0.372015,-0.254743,-0.000691169
-0.370526,-0.253231,-0.000689585
-0.369206,-0.251547,-0.000688011
-0.368075,-0.249711,-0.000686447
-0.367153,-0.247746,-0.000684892
-0.366453,-0.245676,-0.000683347
-0.365989,-0.243528,-0.00068181
-0.365767,-0.241331,-0.000680283
-0.365794,-0.239114,-0.000678764
-0.366069,-0.236905,-0.000677255
-0.36659,-0.234734,-0.000675754
-0.367351,-0.232629,-0.000674263
-0.368343,-0.230617,-0.000672779
-0.369554,-0.228721,-0.000671305
-0.370969,-0.226967,-0.000669839
-0.372573,-0.225375,-0.000668381
-0.374347,-0.223965,-0.000666931
-0.376271,-0.222755,-0.00066549
-0.378323,-0.22176,-0.000664057
-0.380482,-0.220994,-0.000662632
-0.382722,-0.220468,-0.000661215
-0.385019,-0.220191,-0.000659806
-0.387346,-0.220171,-0.000658405
-0.389675,-0.220411,-0.000657012
-0.391978,-0.220912,-0.000655626
-0.394226,-0.221674,-0.000654248
-0.39639,-0.22269,-0.000652878
-0.39844,-0.223952,-0.000651515
-0.400349,-0.225447,-0.000650159
-0.402088,-0.22716,-0.000648811
-0.403633,-0.229071,-0.00064747
-0.404961,-0.231157,-0.000646136
-0.40605,-0.233391,-0.000644809
-0.406885,-0.235745,-0.00064349
-0.407452,-0.238188,-0.000642177
-0.407741,-0.240687,-0.000640872
-0.407749,-0.24321,-0.000639573
-0.407474,-0.245722,-0.000638281
-0.406921,-0.248192,-0.000636996
-0.406096,-0.250585,-0.000635718
-0.405012,-0.252874,-0.000634446
-0.403683,-0.255028,-0.000633181
-0.402126,-0.257022,-0.000631922
-0.400362,-0.258832,-0.00063067
-0.398412,-0.260438,-0.000629424
-0.396302,-0.261823,-0.000628185
-0.394055,-0.26297,-0.000626952
-0.391698,-0.263868,-0.000625725
-0.389259,-0.264507,-0.000624504
-0.386765,-0.264881,-0.00062329
-0.384242,-0.264986,-0.000622081
-0.381721,-0.26482,-0.000620879
-0.379228,-0.264386,-0.000619682
-0.376791,-0.263687,-0.000618492
-0.374438,-0.262731,-0.000617307
-0.372196,-0.261527,-0.000616129
-0.370088,-0.26009,-0.000614956
-0.368141,-0.258434,-0.000613788
-0.366375,-0.256578,-0.000612627
-0.364811,-0.254544,-0.000611471
-0.363467,-0.252353,-0.00061032
-0.362357,-0.250031,-0.000609176
-0.361493,-0.247606,-0.000608036
-0.360884,-0.245103,-0.000606902
-0.360536,-0.242552,-0.000605774
-0.360449,-0.239981,-0.000604651
-0.360624,-0.237417,-0.000603533
-0.361056,-0.234888,-0.000602421
-0.361738,-0.232421,-0.000601313
-0.362662,-0.230039,-0.000600211
-0.363815,-0.227767,-0.000599114
-0.365183,-0.225626,-0.000598023
-0.366752,-0.223635,-0.000596936
-0.368504,-0.221812,-0.000595854
-0.370422,-0.220173,-0.000594777
-0.372486,-0.218732,-0.000593706
-0.374675,-0.2175,-0.000592639
-0.376971,-0.216488,-0.000591577
