x,y,gamma
-0.381512,-0.469852,-0.0158099
-0.381065,-0.472255,-0.00912614
-0.381408,-0.474357,-0.00706775
-0.382201,-0.475949,-0.00597222
-0.383166,-0.477044,-0.00526601
-0.384139,-0.477738,-0.0047624
-0.385042,-0.478136,-0.00437994
-0.385847,-0.478322,-0.00407674
-0.386549,-0.478362,-0.00382871
-0.387154,-0.4783,-0.00362092
-0.38767,-0.478168,-0.00344353
-0.388109,-0.477991,-0.00328979
-0.38848,-0.477783,-0.00315486
-0.388792,-0.477556,-0.0030352
-0.389053,-0.47732,-0.00292811
-0.389271,-0.477079,-0.00283155
-0.389451,-0.476839,-0.00274389
-0.389598,-0.476601,-0.00266383
-0.389717,-0.476369,-0.00259035
-0.389812,-0.476143,-0.00252258
-0.389886,-0.475924,-0.00245982
-0.389941,-0.475712,-0.00240148
-0.38998,-0.475509,-0.00234707
-0.390004,-0.475313,-0.00229615
-0.390016,-0.475125,-0.00224838
-0.390016,-0.474945,-0.00220344
-0.390007,-0.474773,-0.00216105
-0.389988,-0.474608,-0.002121
-0.389962,-0.47445,-0.00208306
-0.389927,-0.474299,-0.00204706
-0.389886,-0.474155,-0.00201285
-0.389839,-0.474018,-0.00198026
-0.389786,-0.473887,-0.00194919
-0.389728,-0.473762,-0.00191951
-0.389665,-0.473643,-0.00189113
-0.389597,-0.47353,-0.00186395
-0.389525,-0.473423,-0.00183789
-0.389449,-0.473321,-0.00181288
-0.38937,-0.473225,-0.00178884
-0.389287,-0.473135,-0.00176572
-0.389202,-0.473051,-0.00174345
-0.389113,-0.472971,-0.00172199
-0.389022,-0.472898,-0.00170129
-0.388929,-0.472829,-0.0016813
-0.388834,-0.472766,-0.00166199
-0.388738,-0.472708,-0.00164331
-0.388639,-0.472655,-0.00162523
-0.38854,-0.472607,-0.00160773
-0.38844,-0.472564,-0.00159077
-0.388338,-0.472526,-0.00157432
-0.388237,-0.472493,-0.00155836
-0.388135,-0.472464,-0.00154286
-0.388033,-0.472439,-0.0015278
-0.387931,-0.472419,-0.00151317
-0.387829,-0.472403,-0.00149894
-0.387728,-0.47239,-0.00148509
-0.387627,-0.472381,-0.00147161
-0.387527,-0.472375,-0.00145848
-0.387428,-0.472372,-0.00144568
-0.38733,-0.472372,-0.00143321
-0.387233,-0.472375,-0.00142104
-0.387137,-0.47238,-0.00140917
-0.387042,-0.472386,-0.00139759
-0.386949,-0.472394,-0.00138627
-0.386857,-0.472404,-0.00137522
-0.386766,-0.472414,-0.00136442
-0.386676,-0.472425,-0.00135387
-0.386588,-0.472436,-0.00134354
-0.386501,-0.472447,-0.00133345
-0.386416,-0.472458,-0.00132356
-0.386332,-0.472468,-0.00131389
-0.386249,-0.472477,-0.00130442
-0.386168,-0.472484,-0.00129515
-0.386089,-0.47249,-0.00128606
-0.38601,-0.472493,-0.00127715
-0.385934,-0.472494,-0.00126843
-0.385858,-0.472492,-0.00125987
-0.385785,-0.472486,-0.00125147
-0.385713,-0.472477,-0.00124324
-0.385643,-0.472465,-0.00123516
-0.385575,-0.472448,-0.00122722
-0.38551,-0.472426,-0.00121944
-0.385446,-0.4724,-0.00121179
-0.385385,-0.472369,-0.00120428
-0.385327,-0.472333,-0.00119691
-0.385272,-0.472291,-0.00118966
-0.385221,-0.472244,-0.00118253
-0.385173,-0.472191,-0.00117553
-0.38513,-0.472132,-0.00116864
-0.385091,-0.472067,-0.00116187
-0.385058,-0.471996,-0.00115521
-0.38503,-0.471919,-0.00114866
-0.385008,-0.471836,-0.00114222
-0.384994,-0.471747,-0.00113587
-0.384986,-0.471653,-0.00112963
-0.384987,-0.471553,-0.00112348
-0.384997,-0.471448,-0.00111743
-0.385016,-0.471338,-0.00111147
-0.385046,-0.471225,-0.0011056
-0.385086,-0.471107,-0.00109982
-0.385139,-0.470987,-0.00109412
-0.385204,-0.470864,-0.00108851
-0.385283,-0.470739,-0.00108298
-0.385377,-0.470614,-0.00107752
-0.385486,-0.47049,-0.00107215
-0.385612,-0.470366,-0.00106685
-0.385756,-0.470246,-0.00106162
-0.385918,-0.47013,-0.00105647
-0.3861,-0.470021,-0.00105139
-0.386304,-0.469919,-0.00104637
-0.38653,-0.469828,-0.00104142
-0.386781,-0.46975,-0.00103654
-0.387056,-0.469688,-0.00103173
-0.387359,-0.469646,-0.00102697
-0.38769,-0.469629,-0.00102228
-0.388051,-0.469642,-0.00101765
