x,y,gamma
-0.392471,-0.103156,-0.0158099
-0.392191,-0.103419,-0.00912614
-0.391943,-0.103688,-0.00706775
-0.391727,-0.10396,-0.00597222
-0.391539,-0.104233,-0.00526601
-0.391377,-0.104505,-0.0047624
-0.39124,-0.104772,-0.00437994
-0.391126,-0.105035,-0.00407674
-0.391032,-0.105291,-0.00382871
-0.390956,-0.10554,-0.00362092
-0.390897,-0.105781,-0.00344353
-0.390853,-0.106013,-0.00328979
-0.390823,-0.106237,-0.00315486
-0.390805,-0.106452,-0.0030352
-0.390797,-0.106658,-0.00292811
-0.390799,-0.106854,-0.00283155
-0.39081,-0.107042,-0.00274389
-0.390828,-0.107221,-0.00266383
-0.390853,-0.107392,-0.00259035
-0.390884,-0.107554,-0.00252258
-0.390921,-0.107708,-0.00245982
-0.390962,-0.107854,-0.00240148
-0.391007,-0.107992,-0.00234707
-0.391056,-0.108123,-0.00229615
-0.391108,-0.108246,-0.00224838
-0.391162,-0.108363,-0.00220344
-0.391219,-0.108473,-0.00216105
-0.391279,-0.108577,-0.002121
-0.39134,-0.108674,-0.00208306
-0.391402,-0.108766,-0.00204706
-0.391466,-0.108851,-0.00201285
-0.391531,-0.108932,-0.00198026
-0.391597,-0.109007,-0.00194919
-0.391664,-0.109077,-0.00191951
-0.391732,-0.109142,-0.00189113
-0.3918,-0.109203,-0.00186395
-0.391868,-0.109259,-0.00183789
-0.391937,-0.109311,-0.00181288
-0.392006,-0.109359,-0.00178884
-0.392076,-0.109403,-0.00176572
-0.392145,-0.109443,-0.00174345
-0.392214,-0.109479,-0.00172199
-0.392284,-0.109512,-0.00170129
-0.392353,-0.109542,-0.0016813
-0.392423,-0.109568,-0.00166199
-0.392492,-0.109592,-0.00164331
-0.392561,-0.109612,-0.00162523
-0.39263,-0.109629,-0.00160773
-0.392699,-0.109644,-0.00159077
-0.392767,-0.109657,-0.00157432
-0.392835,-0.109667,-0.00155836
-0.392904,-0.109674,-0.00154286
-0.392971,-0.10968,-0.0015278
-0.393039,-0.109683,-0.00151317
-0.393106,-0.109684,-0.00149894
-0.393173,-0.109684,-0.00148509
-0.39324,-0.109681,-0.00147161
-0.393307,-0.109678,-0.00145848
-0.393373,-0.109672,-0.00144568
-0.393439,-0.109665,-0.00143321
-0.393505,-0.109657,-0.00142104
-0.39357,-0.109647,-0.00140917
-0.393636,-0.109637,-0.00139759
-0.393701,-0.109625,-0.00138627
-0.393766,-0.109613,-0.00137522
-0.393831,-0.109599,-0.00136442
-0.393895,-0.109585,-0.00135387
-0.39396,-0.109571,-0.00134354
-0.394024,-0.109556,-0.00133345
-0.394089,-0.10954,-0.00132356
-0.394153,-0.109524,-0.00131389
-0.394217,-0.109508,-0.00130442
-0.394281,-0.109492,-0.00129515
-0.394345,-0.109477,-0.00128606
-0.394408,-0.109461,-0.00127715
-0.394472,-0.109445,-0.00126843
-0.394536,-0.10943,-0.00125987
-0.3946,-0.109415,-0.00125147
-0.394664,-0.109401,-0.00124324
-0.394728,-0.109388,-0.00123516
-0.394792,-0.109375,-0.00122722
-0.394856,-0.109363,-0.00121944
-0.39492,-0.109352,-0.00121179
-0.394984,-0.109343,-0.00120428
-0.395048,-0.109335,-0.00119691
-0.395113,-0.109328,-0.00118966
-0.395177,-0.109322,-0.00118253
-0.395241,-0.109318,-0.00117553
-0.395306,-0.109316,-0.00116864
-0.39537,-0.109315,-0.00116187
-0.395435,-0.109317,-0.00115521
-0.3955,-0.109321,-0.00114866
-0.395564,-0.109326,-0.00114222
-0.395629,-0.109334,-0.00113587
-0.395694,-0.109345,-0.00112963
-0.395758,-0.109358,-0.00112348
-0.395823,-0.109373,-0.00111743
-0.395887,-0.109392,-0.00111147
-0.395951,-0.109413,-0.0011056
-0.396015,-0.109437,-0.00109982
-0.396078,-0.109465,-0.00109412
-0.396142,-0.109495,-0.00108851
-0.396204,-0.109529,-0.00108298
-0.396267,-0.109566,-0.00107752
-0.396328,-0.109607,-0.00107215
-0.396389,-0.109652,-0.00106685
-0.396449,-0.1097,-0.00106162
-0.396509,-0.109753,-0.00105647
-0.396567,-0.109809,-0.00105139
-0.396624,-0.10987,-0.00104637
-0.39668,-0.109935,-0.00104142
-0.396735,-0.110004,-0.00103654
-0.396788,-0.110077,-0.00103173
-0.396839,-0.110155,-0.00102697
-0.396889,-0.110238,-0.00102228
-0.396936,-0.110326,-0.00101765
-0.396982,-0.110418,-0.00101307
-0.397025,-0.110515,-0.00100856
-0.397065,-0.110617,-0.0010041
-0.397103,-0.110725,-0.000999693
-0.397137,-0.110837,-0.000995343
-0.397169,-0.110955,-0.000991046
-0.397197,-0.111078,-0.000986801
-0.397221,-0.111206,-0.000982607
