x,y,gamma
-0.392624,-0.126112,-0.0158099
-0.392196,-0.126202,-0.00912614
-0.3918,-0.126322,-0.00706775
-0.391435,-0.126466,-0.00597222
-0.391102,-0.126629,-0.00526601
-0.390799,-0.126807,-0.0047624
-0.390526,-0.126996,-0.00437994
-0.390279,-0.127193,-0.00407674
-0.390059,-0.127394,-0.00382871
-0.389862,-0.127598,-0.00362092
-0.389688,-0.127803,-0.00344353
-0.389534,-0.128007,-0.00328979
-0.3894,-0.128208,-0.00315486
-0.389282,-0.128406,-0.0030352
-0.389181,-0.1286,-0.00292811
-0.389094,-0.128789,-0.00283155
-0.38902,-0.128974,-0.00274389
-0.388958,-0.129152,-0.00266383
-0.388907,-0.129325,-0.00259035
-0.388866,-0.129492,-0.00252258
-0.388834,-0.129653,-0.00245982
-0.388811,-0.129808,-0.00240148
-0.388795,-0.129957,-0.00234707
-0.388785,-0.130101,-0.00229615
-0.388782,-0.130238,-0.00224838
-0.388785,-0.13037,-0.00220344
-0.388793,-0.130496,-0.00216105
-0.388806,-0.130616,-0.002121
-0.388823,-0.130731,-0.00208306
-0.388844,-0.130842,-0.00204706
-0.388868,-0.130947,-0.00201285
-0.388896,-0.131047,-0.00198026
-0.388928,-0.131142,-0.00194919
-0.388961,-0.131233,-0.00191951
-0.388998,-0.13132,-0.00189113
-0.389037,-0.131402,-0.00186395
-0.389078,-0.13148,-0.00183789
-0.389122,-0.131554,-0.00181288
-0.389167,-0.131625,-0.00178884
-0.389214,-0.131691,-0.00176572
-0.389262,-0.131754,-0.00174345
-0.389312,-0.131814,-0.00172199
-0.389364,-0.13187,-0.00170129
-0.389417,-0.131923,-0.0016813
-0.389471,-0.131973,-0.00166199
-0.389526,-0.13202,-0.00164331
-0.389582,-0.132064,-0.00162523
-0.389639,-0.132106,-0.00160773
-0.389697,-0.132145,-0.00159077
-0.389756,-0.132181,-0.00157432
-0.389815,-0.132215,-0.00155836
-0.389876,-0.132247,-0.00154286
-0.389937,-0.132276,-0.0015278
-0.389998,-0.132304,-0.00151317
-0.39006,-0.132329,-0.00149894
-0.390123,-0.132353,-0.00148509
-0.390186,-0.132375,-0.00147161
-0.390249,-0.132395,-0.00145848
-0.390313,-0.132414,-0.00144568
-0.390377,-0.132431,-0.00143321
-0.390441,-0.132448,-0.00142104
-0.390506,-0.132462,-0.00140917
-0.390571,-0.132476,-0.00139759
-0.390636,-0.132489,-0.00138627
-0.390701,-0.132501,-0.00137522
-0.390766,-0.132512,-0.00136442
-0.390831,-0.132523,-0.00135387
-0.390896,-0.132533,-0.00134354
-0.390962,-0.132543,-0.00133345
-0.391027,-0.132552,-0.00132356
