x,y,gamma
-0.381027,-0.266667,-0.0158099
-0.381883,-0.266942,-0.00912614
-0.382703,-0.267059,-0.00706775
-0.383461,-0.267047,-0.00597222
-0.384145,-0.266934,-0.00526601
-0.384749,-0.266747,-0.0047624
-0.385273,-0.266508,-0.00437994
-0.385722,-0.266235,-0.00407674
-0.386101,-0.265943,-0.00382871
-0.386419,-0.265643,-0.00362092
-0.386682,-0.265341,-0.00344353
-0.386898,-0.265045,-0.00328979
-0.387074,-0.264757,-0.00315486
-0.387214,-0.264479,-0.0030352
-0.387324,-0.264215,-0.00292811
-0.387408,-0.263963,-0.00283155
-0.387471,-0.263726,-0.00274389
-0.387516,-0.263501,-0.00266383
-0.387544,-0.26329,-0.00259035
-0.387559,-0.263092,-0.00252258
-0.387563,-0.262905,-0.00245982
-0.387556,-0.262731,-0.00240148
-0.387541,-0.262568,-0.00234707
-0.387519,-0.262415,-0.00229615
-0.387491,-0.262271,-0.00224838
-0.387457,-0.262138,-0.00220344
-0.387418,-0.262013,-0.00216105
-0.387375,-0.261896,-0.002121
-0.387328,-0.261788,-0.00208306
-0.387279,-0.261686,-0.00204706
-0.387226,-0.261592,-0.00201285
-0.387171,-0.261504,-0.00198026
-0.387113,-0.261423,-0.00194919
-0.387054,-0.261348,-0.00191951
-0.386993,-0.261278,-0.00189113
-0.38693,-0.261214,-0.00186395
-0.386865,-0.261155,-0.00183789
-0.386799,-0.261101,-0.00181288
-0.386732,-0.261052,-0.00178884
-0.386664,-0.261008,-0.00176572
-0.386595,-0.260967,-0.00174345
-0.386525,-0.260931,-0.00172199
-0.386454,-0.260899,-0.00170129
-0.386383,-0.260871,-0.0016813
-0.38631,-0.260846,-0.00166199
-0.386238,-0.260825,-0.00164331
-0.386164,-0.260807,-0.00162523
-0.386091,-0.260793,-0.00160773
-0.386017,-0.260781,-0.00159077
-0.385942,-0.260773,-0.00157432
-0.385868,-0.260767,-0.00155836
-0.385793,-0.260764,-0.00154286
-0.385718,-0.260764,-0.0015278
-0.385644,-0.260765,-0.00151317
-0.385569,-0.26077,-0.00149894
-0.385494,-0.260776,-0.00148509
-0.385419,-0.260784,-0.00147161
-0.385345,-0.260794,-0.00145848
-0.38527,-0.260805,-0.00144568
-0.385196,-0.260818,-0.00143321
-0.385122,-0.260833,-0.00142104
-0.385048,-0.260848,-0.00140917
-0.384975,-0.260865,-0.00139759
-0.384902,-0.260882,-0.00138627
-0.384829,-0.2609,-0.00137522
-0.384757,-0.260918,-0.00136442
-0.384685,-0.260937,-0.00135387
-0.384613,-0.260956,-0.00134354
-0.384542,-0.260975,-0.00133345
-0.384472,-0.260994,-0.00132356
-0.384401,-0.261012,-0.00131389
-0.384331,-0.26103,-0.00130442
-0.384262,-0.261047,-0.00129515
-0.384193,-0.261062,-0.00128606
-0.384125,-0.261077,-0.00127715
-0.384057,-0.261091,-0.00126843
-0.38399,-0.261103,-0.00125987
-0.383924,-0.261113,-0.00125147
-0.383858,-0.261121,-0.00124324
-0.383792,-0.261127,-0.00123516
-0.383728,-0.261131,-0.00122722
-0.383664,-0.261132,-0.00121944
-0.383602,-0.26113,-0.00121179
-0.38354,-0.261126,-0.00120428
-0.383479,-0.261118,-0.00119691
-0.383419,-0.261107,-0.00118966
-0.383361,-0.261093,-0.00118253
-0.383304,-0.261075,-0.00117553
-0.383249,-0.261053,-0.00116864
-0.383195,-0.261026,-0.00116187
-0.383143,-0.260996,-0.00115521
-0.383093,-0.260961,-0.00114866
-0.383046,-0.260922,-0.00114222
-0.383001,-0.260877,-0.00113587
-0.382958,-0.260828,-0.00112963
-0.382919,-0.260774,-0.00112348
-0.382883,-0.260715,-0.00111743
-0.38285,-0.26065,-0.00111147
-0.382822,-0.26058,-0.0011056
-0.382798,-0.260504,-0.00109982
-0.382778,-0.260422,-0.00109412
