x,y,gamma
-0.387983,-0.34291,-0.0158099
-0.386613,-0.342888,-0.00912614
-0.385397,-0.34316,-0.00706775
-0.384385,-0.343632,-0.00597222
-0.383587,-0.344219,-0.00526601
-0.382986,-0.344855,-0.0047624
-0.382554,-0.345494,-0.00437994
-0.382261,-0.346107,-0.00407674
-0.382077,-0.346679,-0.00382871
-0.381979,-0.347202,-0.00362092
-0.381945,-0.347676,-0.00344353
-0.381959,-0.3481,-0.00328979
-0.38201,-0.348479,-0.00315486
-0.382087,-0.348815,-0.0030352
-0.382183,-0.349113,-0.00292811
-0.382293,-0.349377,-0.00283155
-0.382411,-0.349611,-0.00274389
-0.382536,-0.349817,-0.00266383
-0.382665,-0.349999,-0.00259035
-0.382795,-0.350159,-0.00252258
-0.382926,-0.3503,-0.00245982
-0.383056,-0.350424,-0.00240148
-0.383185,-0.350532,-0.00234707
-0.383312,-0.350627,-0.00229615
-0.383438,-0.350709,-0.00224838
-0.383561,-0.350779,-0.00220344
-0.383681,-0.350839,-0.00216105
-0.383799,-0.350889,-0.002121
-0.383915,-0.35093,-0.00208306
-0.384028,-0.350964,-0.00204706
-0.384138,-0.350989,-0.00201285
-0.384246,-0.351008,-0.00198026
-0.384351,-0.35102,-0.00194919
-0.384453,-0.351026,-0.00191951
-0.384554,-0.351027,-0.00189113
-0.384651,-0.351021,-0.00186395
-0.384747,-0.351011,-0.00183789
-0.38484,-0.350996,-0.00181288
-0.38493,-0.350976,-0.00178884
-0.385019,-0.350951,-0.00176572
-0.385105,-0.350923,-0.00174345
-0.385189,-0.35089,-0.00172199
-0.38527,-0.350854,-0.00170129
-0.38535,-0.350814,-0.0016813
-0.385427,-0.35077,-0.00166199
-0.385502,-0.350724,-0.00164331
-0.385574,-0.350674,-0.00162523
-0.385645,-0.350622,-0.00160773
-0.385713,-0.350566,-0.00159077
-0.385779,-0.350509,-0.00157432
-0.385843,-0.350448,-0.00155836
-0.385905,-0.350386,-0.00154286
-0.385965,-0.350322,-0.0015278
-0.386022,-0.350256,-0.00151317
-0.386078,-0.350188,-0.00149894
-0.386132,-0.350119,-0.00148509
-0.386184,-0.350048,-0.00147161
-0.386234,-0.349976,-0.00145848
-0.386283,-0.349904,-0.00144568
-0.38633,-0.34983,-0.00143321
-0.386376,-0.349756,-0.00142104
-0.38642,-0.349681,-0.00140917
-0.386463,-0.349606,-0.00139759
-0.386504,-0.349532,-0.00138627
-0.386545,-0.349457,-0.00137522
-0.386585,-0.349382,-0.00136442
-0.386624,-0.349307,-0.00135387
-0.386663,-0.349234,-0.00134354
-0.386701,-0.349161,-0.00133345
-0.386739,-0.349088,-0.00132356
-0.386777,-0.349017,-0.00131389
-0.386815,-0.348947,-0.00130442
-0.386853,-0.348879,-0.00129515
-0.386891,-0.348812,-0.00128606
-0.38693,-0.348746,-0.00127715
-0.38697,-0.348683,-0.00126843
-0.387011,-0.348622,-0.00125987
-0.387053,-0.348563,-0.00125147
-0.387096,-0.348506,-0.00124324
-0.38714,-0.348453,-0.00123516
-0.387186,-0.348402,-0.00122722
-0.387233,-0.348355,-0.00121944
-0.387282,-0.348311,-0.00121179
-0.387332,-0.34827,-0.00120428
-0.387384,-0.348234,-0.00119691
-0.387439,-0.348202,-0.00118966
-0.387495,-0.348174,-0.00118253
-0.387552,-0.348151,-0.00117553
-0.387612,-0.348134,-0.00116864
-0.387673,-0.348121,-0.00116187
-0.387737,-0.348115,-0.00115521
-0.387801,-0.348114,-0.00114866
-0.387867,-0.34812,-0.00114222
-0.387935,-0.348133,-0.00113587
-0.388004,-0.348153,-0.00112963
-0.388073,-0.348181,-0.00112348
-0.388143,-0.348216,-0.00111743
-0.388214,-0.34826,-0.00111147
-0.388284,-0.348313,-0.0011056
-0.388354,-0.348375,-0.00109982
-0.388422,-0.348446,-0.00109412
-0.38849,-0.348527,-0.00108851
-0.388555,-0.348619,-0.00108298
-0.388618,-0.348722,-0.00107752
-0.388677,-0.348836,-0.00107215
-0.388733,-0.348962,-0.00106685
-0.388783,-0.3491,-0.00106162
-0.388827,-0.349251,-0.00105647
-0.388865,-0.349415,-0.00105139
-0.388894,-0.349593,-0.00104637
-0.388914,-0.349785,-0.00104142
-0.388922,-0.349991,-0.00103654
-0.388918,-0.350212,-0.00103173
-0.3889,-0.350447,-0.00102697
-0.388865,-0.350699,-0.00102228
-0.388811,-0.350965,-0.00101765
-0.388735,-0.351247,-0.00101307
-0.388634,-0.351544,-0.00100856
-0.388505,-0.351855,-0.0010041
-0.388344,-0.352179,-0.000999693
-0.388147,-0.352514,-0.000995343
-0.387909,-0.352859,-0.000991046
-0.387626,-0.35321,-0.000986801
-0.387291,-0.353562,-0.000982607
-0.386899,-0.353911,-0.000978462
-0.386444,-0.354248,-0.000974366
-0.385922,-0.354564,-0.000970319
-0.385328,-0.354848,-0.000966318
-0.384659,-0.355086,-0.000962363
-0.383914,-0.355261,-0.000958453
-0.383096,-0.355354,-0.000954588
-0.38221,-0.355345,-0.000950766
-0.381269,-0.355213,-0.000946987
-0.380292,-0.354936,-0.00094325
-0.379303,-0.354496,-0.000939553
-0.378333,-0.353881,-0.000935897
-0.37742,-0.353084,-0.000932281
-0.376603,-0.352109,-0.000928703
-0.375923,-0.350971,-0.000925163
-0.375416,-0.349696,-0.000921661
-0.375111,-0.348318,-0.000918196
-0.375029,-0.34688,-0.000914767
-0.375179,-0.345427,-0.000911373
-0.375556,-0.344004,-0.000908015
-0.37615,-0.342652,-0.00090469
-0.376938,-0.341404,-0.000901399
-0.377898,-0.340287,-0.000898142
