x,y,gamma
-0.408563,-0.0200436,-0.0158099
-0.408759,-0.0201044,-0.00912614
-0.408952,-0.0201569,-0.00706775
-0.409141,-0.0202014,-0.00597222
-0.409326,-0.0202384,-0.00526601
-0.409508,-0.0202682,-0.0047624
-0.409685,-0.0202914,-0.00437994
-0.409858,-0.0203081,-0.00407674
-0.410027,-0.0203189,-0.00382871
-0.410192,-0.0203241,-0.00362092
-0.410352,-0.020324,-0.00344353
-0.410508,-0.0203189,-0.00328979
-0.41066,-0.0203091,-0.00315486
-0.410808,-0.0202949,-0.0030352
-0.410951,-0.0202766,-0.00292811
-0.41109,-0.0202544,-0.00283155
-0.411224,-0.0202285,-0.00274389
-0.411355,-0.0201993,-0.00266383
-0.411481,-0.0201669,-0.00259035
-0.411603,-0.0201316,-0.00252258
-0.411721,-0.0200935,-0.00245982
-0.411835,-0.0200527,-0.00240148
-0.411945,-0.0200096,-0.00234707
-0.412051,-0.0199642,-0.00229615
-0.412154,-0.0199166,-0.00224838
-0.412252,-0.0198672,-0.00220344
-0.412347,-0.0198159,-0.00216105
-0.412439,-0.0197629,-0.002121
-0.412527,-0.0197083,-0.00208306
-0.412611,-0.0196522,-0.00204706
-0.412692,-0.0195948,-0.00201285
-0.41277,-0.0195362,-0.00198026
-0.412844,-0.0194763,-0.00194919
-0.412915,-0.0194154,-0.00191951
-0.412984,-0.0193535,-0.00189113
-0.413049,-0.0192907,-0.00186395
-0.413111,-0.019227,-0.00183789
-0.413171,-0.0191625,-0.00181288
-0.413227,-0.0190974,-0.00178884
-0.413281,-0.0190315,-0.00176572
-0.413333,-0.0189651,-0.00174345
-0.413381,-0.0188981,-0.00172199
-0.413428,-0.0188306,-0.00170129
-0.413471,-0.0187626,-0.0016813
-0.413513,-0.0186942,-0.00166199
-0.413552,-0.0186254,-0.00164331
-0.413589,-0.0185562,-0.00162523
-0.413624,-0.0184868,-0.00160773
-0.413657,-0.018417,-0.00159077
-0.413687,-0.018347,-0.00157432
-0.413716,-0.0182768,-0.00155836
-0.413743,-0.0182063,-0.00154286
-0.413768,-0.0181357,-0.0015278
-0.413791,-0.0180649,-0.00151317
-0.413813,-0.0179939,-0.00149894
-0.413833,-0.0179228,-0.00148509
-0.413852,-0.0178516,-0.00147161
-0.413869,-0.0177802,-0.00145848
-0.413884,-0.0177088,-0.00144568
-0.413899,-0.0176373,-0.00143321
-0.413912,-0.0175657,-0.00142104
-0.413923,-0.017494,-0.00140917
-0.413934,-0.0174223,-0.00139759
-0.413943,-0.0173505,-0.00138627
-0.413951,-0.0172786,-0.00137522
-0.413959,-0.0172067,-0.00136442
-0.413965,-0.0171348,-0.00135387
-0.413971,-0.0170628,-0.00134354
-0.413975,-0.0169907,-0.00133345
-0.413979,-0.0169186,-0.00132356
-0.413983,-0.0168465,-0.00131389
-0.413985,-0.0167743,-0.00130442
-0.413987,-0.0167021,-0.00129515
-0.413989,-0.0166299,-0.00128606
-0.41399,-0.0165576,-0.00127715
-0.41399,-0.0164852,-0.00126843
-0.41399,-0.0164128,-0.00125987
-0.41399,-0.0163403,-0.00125147
-0.41399,-0.0162678,-0.00124324
-0.413989,-0.0161952,-0.00123516
-0.413989,-0.0161225,-0.00122722
-0.413988,-0.0160498,-0.00121944
-0.413987,-0.015977,-0.00121179
-0.413986,-0.0159041,-0.00120428
-0.413986,-0.0158312,-0.00119691
-0.413985,-0.0157581,-0.00118966
-0.413985,-0.015685,-0.00118253
-0.413985,-0.0156118,-0.00117553
-0.413985,-0.0155385,-0.00116864
-0.413986,-0.0154652,-0.00116187
-0.413987,-0.0153917,-0.00115521
-0.413988,-0.0153181,-0.00114866
-0.41399,-0.0152445,-0.00114222
-0.413993,-0.0151707,-0.00113587
-0.413996,-0.0150968,-0.00112963
-0.414,-0.0150229,-0.00112348
-0.414004,-0.0149488,-0.00111743
-0.41401,-0.0148747,-0.00111147
-0.414016,-0.0148005,-0.0011056
-0.414023,-0.0147262,-0.00109982
-0.414031,-0.0146518,-0.00109412
-0.41404,-0.0145773,-0.00108851
-0.414051,-0.0145028,-0.00108298
-0.414062,-0.0144282,-0.00107752
-0.414074,-0.0143535,-0.00107215
-0.414088,-0.0142788,-0.00106685
-0.414103,-0.014204,-0.00106162
-0.414119,-0.0141293,-0.00105647
-0.414137,-0.0140545,-0.00105139
-0.414156,-0.0139797,-0.00104637
-0.414176,-0.0139049,-0.00104142
-0.414198,-0.0138301,-0.00103654
