x,y,gamma
-0.391204,-0.367269,-0.0158099
-0.390127,-0.366197,-0.00912614
-0.388943,-0.365502,-0.00706775
-0.387779,-0.365144,-0.00597222
-0.386713,-0.36505,-0.00526601
-0.385784,-0.365145,-0.0047624
-0.385001,-0.365366,-0.00437994
-0.384355,-0.365664,-0.00407674
-0.383832,-0.366003,-0.00382871
-0.383413,-0.366359,-0.00362092
-0.383083,-0.366717,-0.00344353
-0.382826,-0.367067,-0.00328979
-0.382629,-0.367402,-0.00315486
-0.382481,-0.367721,-0.0030352
-0.382374,-0.36802,-0.00292811
-0.3823,-0.368301,-0.00283155
-0.382252,-0.368562,-0.00274389
-0.382227,-0.368806,-0.00266383
-0.38222,-0.369032,-0.00259035
-0.382228,-0.369241,-0.00252258
-0.382249,-0.369436,-0.00245982
-0.38228,-0.369616,-0.00240148
-0.382319,-0.369783,-0.00234707
-0.382366,-0.369938,-0.00229615
-0.38242,-0.370082,-0.00224838
-0.382478,-0.370215,-0.00220344
-0.382541,-0.370338,-0.00216105
-0.382608,-0.370451,-0.002121
-0.382678,-0.370556,-0.00208306
-0.382752,-0.370653,-0.00204706
-0.382827,-0.370743,-0.00201285
-0.382905,-0.370825,-0.00198026
-0.382986,-0.3709,-0.00194919
-0.383068,-0.370969,-0.00191951
-0.383151,-0.371031,-0.00189113
-0.383236,-0.371088,-0.00186395
-0.383322,-0.371139,-0.00183789
-0.38341,-0.371184,-0.00181288
-0.383498,-0.371224,-0.00178884
-0.383587,-0.37126,-0.00176572
-0.383677,-0.37129,-0.00174345
-0.383768,-0.371315,-0.00172199
-0.383859,-0.371337,-0.00170129
-0.38395,-0.371353,-0.0016813
-0.384041,-0.371366,-0.00166199
-0.384133,-0.371374,-0.00164331
-0.384225,-0.371378,-0.00162523
-0.384316,-0.371379,-0.00160773
-0.384408,-0.371376,-0.00159077
-0.384499,-0.37137,-0.00157432
-0.384589,-0.37136,-0.00155836
-0.38468,-0.371347,-0.00154286
-0.384769,-0.371331,-0.0015278
-0.384858,-0.371312,-0.00151317
-0.384946,-0.371291,-0.00149894
-0.385034,-0.371267,-0.00148509
-0.38512,-0.371241,-0.00147161
-0.385206,-0.371213,-0.00145848
-0.385291,-0.371183,-0.00144568
-0.385375,-0.371151,-0.00143321
-0.385457,-0.371118,-0.00142104
-0.385539,-0.371083,-0.00140917
-0.38562,-0.371048,-0.00139759
-0.3857,-0.371012,-0.00138627
-0.385779,-0.370975,-0.00137522
-0.385857,-0.370938,-0.00136442
-0.385934,-0.370901,-0.00135387
-0.38601,-0.370863,-0.00134354
-0.386086,-0.370827,-0.00133345
