x,y,gamma
-0.380148,-0.454575,-0.0158099
-0.381536,-0.456312,-0.00912614
-0.383183,-0.457363,-0.00706775
-0.38478,-0.457819,-0.00597222
-0.386165,-0.457852,-0.00526601
-0.387295,-0.457621,-0.0047624
-0.388183,-0.457245,-0.00437994
-0.388863,-0.456797,-0.00407674
-0.389374,-0.456324,-0.00382871
-0.389748,-0.455852,-0.00362092
-0.390016,-0.455397,-0.00344353
-0.390198,-0.454967,-0.00328979
-0.390314,-0.454565,-0.00315486
-0.390378,-0.454193,-0.0030352
-0.3904,-0.45385,-0.00292811
-0.39039,-0.453536,-0.00283155
-0.390355,-0.453248,-0.00274389
-0.3903,-0.452985,-0.00266383
-0.390229,-0.452745,-0.00259035
-0.390145,-0.452527,-0.00252258
-0.390052,-0.452327,-0.00245982
-0.389952,-0.452146,-0.00240148
-0.389846,-0.451981,-0.00234707
-0.389735,-0.451831,-0.00229615
-0.389621,-0.451696,-0.00224838
-0.389505,-0.451573,-0.00220344
-0.389386,-0.451461,-0.00216105
-0.389266,-0.451362,-0.002121
-0.389146,-0.451272,-0.00208306
-0.389024,-0.451192,-0.00204706
-0.388903,-0.451121,-0.00201285
-0.388781,-0.451059,-0.00198026
-0.388659,-0.451005,-0.00194919
-0.388538,-0.450958,-0.00191951
-0.388417,-0.450919,-0.00189113
-0.388297,-0.450887,-0.00186395
-0.388178,-0.450862,-0.00183789
-0.388059,-0.450843,-0.00181288
-0.387942,-0.45083,-0.00178884
-0.387826,-0.450824,-0.00176572
-0.387711,-0.450823,-0.00174345
-0.387598,-0.450827,-0.00172199
-0.387486,-0.450837,-0.00170129
-0.387376,-0.450852,-0.0016813
-0.387268,-0.450872,-0.00166199
-0.387162,-0.450897,-0.00164331
-0.387058,-0.450926,-0.00162523
-0.386957,-0.450959,-0.00160773
-0.386857,-0.450996,-0.00159077
-0.38676,-0.451037,-0.00157432
-0.386666,-0.451082,-0.00155836
-0.386574,-0.45113,-0.00154286
-0.386484,-0.451181,-0.0015278
-0.386397,-0.451235,-0.00151317
-0.386313,-0.451292,-0.00149894
-0.386231,-0.451351,-0.00148509
-0.386152,-0.451412,-0.00147161
-0.386075,-0.451474,-0.00145848
-0.386001,-0.451539,-0.00144568
-0.385929,-0.451604,-0.00143321
-0.385859,-0.451671,-0.00142104
-0.385791,-0.451739,-0.00140917
-0.385726,-0.451807,-0.00139759
-0.385662,-0.451876,-0.00138627
-0.3856,-0.451944,-0.00137522
-0.385539,-0.452013,-0.00136442
-0.38548,-0.452081,-0.00135387
-0.385421,-0.452148,-0.00134354
-0.385364,-0.452214,-0.00133345
-0.385307,-0.452279,-0.00132356
-0.385251,-0.452343,-0.00131389
-0.385195,-0.452405,-0.00130442
-0.385139,-0.452465,-0.00129515
-0.385083,-0.452523,-0.00128606
-0.385027,-0.452578,-0.00127715
-0.384971,-0.452631,-0.00126843
-0.384913,-0.452681,-0.00125987
-0.384855,-0.452727,-0.00125147
-0.384796,-0.45277,-0.00124324
-0.384736,-0.452808,-0.00123516
-0.384675,-0.452843,-0.00122722
-0.384613,-0.452873,-0.00121944
-0.384549,-0.452898,-0.00121179
-0.384484,-0.452918,-0.00120428
-0.384418,-0.452933,-0.00119691
-0.38435,-0.452942,-0.00118966
-0.384282,-0.452944,-0.00118253
-0.384213,-0.45294,-0.00117553
-0.384143,-0.45293,-0.00116864
-0.384073,-0.452912,-0.00116187
-0.384002,-0.452886,-0.00115521
-0.383932,-0.452853,-0.00114866
-0.383862,-0.452811,-0.00114222
-0.383793,-0.452761,-0.00113587
-0.383727,-0.452702,-0.00112963
-0.383662,-0.452633,-0.00112348
-0.3836,-0.452556,-0.00111743
-0.383542,-0.452469,-0.00111147
-0.383488,-0.452371,-0.0011056
-0.383439,-0.452264,-0.00109982
-0.383397,-0.452147,-0.00109412
-0.383362,-0.452019,-0.00108851
-0.383335,-0.451881,-0.00108298
-0.383317,-0.451733,-0.00107752
-0.383311,-0.451574,-0.00107215
-0.383317,-0.451404,-0.00106685
-0.383336,-0.451225,-0.00106162
-0.383372,-0.451035,-0.00105647
-0.383424,-0.450836,-0.00105139
-0.383497,-0.450627,-0.00104637
-0.383591,-0.450409,-0.00104142
-0.38371,-0.450183,-0.00103654
-0.383856,-0.449951,-0.00103173
-0.384034,-0.449713,-0.00102697
-0.384246,-0.449471,-0.00102228
-0.384498,-0.449228,-0.00101765
-0.384793,-0.448987,-0.00101307
-0.385138,-0.448753,-0.00100856
-0.385539,-0.448532,-0.0010041
-0.386,-0.448331,-0.000999693
-0.38653,-0.448161,-0.000995343
-0.387135,-0.448036,-0.000991046
-0.387818,-0.447974,-0.000986801
-0.388584,-0.447998,-0.000982607
-0.38943,-0.448136,-0.000978462
-0.390347,-0.448423,-0.000974366
-0.391315,-0.448897,-0.000970319
-0.392297,-0.449602,-0.000966318
-0.393236,-0.450575,-0.000962363
-0.394051,-0.451839,-0.000958453
-0.39464,-0.453391,-0.000954588
-0.394892,-0.455184,-0.000950766
-0.394705,-0.457121,-0.000946987
-0.39402,-0.459058,-0.00094325
-0.392837,-0.460829,-0.000939553
-0.391227,-0.462278,-0.000935897
-0.389311,-0.463294,-0.000932281
-0.387236,-0.463824,-0.000928703
-0.385138,-0.463876,-0.000925163
-0.383127,-0.463495,-0.000921661
-0.381279,-0.462746,-0.000918196
-0.379638,-0.461695,-0.000914767
-0.378228,-0.4604,-0.000911373
-0.377063,-0.45891,-0.000908015
-0.376153,-0.457263,-0.00090469
-0.37551,-0.455493,-0.000901399
-0.375147,-0.453631,-0.000898142
-0.375082,-0.451715,-0.000894917
-0.375329,-0.449788,-0.000891724
-0.3759,-0.447902,-0.000888562
-0.376794,-0.446117,-0.000885432
-0.377997,-0.444495,-0.000882332
