x,y,gamma
-0.391161,-0.200473,-0.0158099
-0.391136,-0.199833,-0.00912614
-0.39104,-0.199244,-0.00706775
-0.390887,-0.198709,-0.00597222
-0.390691,-0.198231,-0.00526601
-0.390464,-0.197807,-0.0047624
-0.390215,-0.197437,-0.00437994
-0.389952,-0.197115,-0.00407674
-0.389683,-0.196839,-0.00382871
-0.389412,-0.196603,-0.00362092
-0.389143,-0.196404,-0.00344353
-0.388879,-0.196237,-0.00328979
-0.388622,-0.196099,-0.00315486
-0.388373,-0.195987,-0.0030352
-0.388134,-0.195897,-0.00292811
-0.387906,-0.195827,-0.00283155
-0.387687,-0.195773,-0.00274389
-0.38748,-0.195735,-0.00266383
-0.387282,-0.19571,-0.00259035
-0.387095,-0.195696,-0.00252258
-0.386918,-0.195692,-0.00245982
-0.386751,-0.195696,-0.00240148
-0.386593,-0.195709,-0.00234707
-0.386444,-0.195728,-0.00229615
-0.386304,-0.195753,-0.00224838
-0.386171,-0.195782,-0.00220344
-0.386047,-0.195817,-0.00216105
-0.38593,-0.195855,-0.002121
-0.385821,-0.195897,-0.00208306
-0.385718,-0.195942,-0.00204706
-0.385621,-0.19599,-0.00201285
-0.385531,-0.19604,-0.00198026
-0.385447,-0.196093,-0.00194919
-0.385368,-0.196147,-0.00191951
-0.385295,-0.196204,-0.00189113
-0.385227,-0.196261,-0.00186395
-0.385164,-0.196321,-0.00183789
-0.385105,-0.196381,-0.00181288
-0.385051,-0.196443,-0.00178884
-0.385001,-0.196505,-0.00176572
-0.384956,-0.196569,-0.00174345
-0.384914,-0.196633,-0.00172199
-0.384877,-0.196698,-0.00170129
-0.384842,-0.196764,-0.0016813
-0.384812,-0.19683,-0.00166199
-0.384784,-0.196897,-0.00164331
-0.38476,-0.196964,-0.00162523
-0.384739,-0.197032,-0.00160773
-0.384721,-0.1971,-0.00159077
-0.384705,-0.197169,-0.00157432
-0.384692,-0.197237,-0.00155836
-0.384682,-0.197306,-0.00154286
-0.384674,-0.197375,-0.0015278
-0.384668,-0.197444,-0.00151317
-0.384664,-0.197513,-0.00149894
-0.384662,-0.197583,-0.00148509
-0.384662,-0.197652,-0.00147161
-0.384664,-0.197721,-0.00145848
-0.384667,-0.19779,-0.00144568
-0.384672,-0.19786,-0.00143321
-0.384678,-0.197929,-0.00142104
-0.384685,-0.197998,-0.00140917
-0.384693,-0.198067,-0.00139759
-0.384702,-0.198135,-0.00138627
-0.384712,-0.198204,-0.00137522
-0.384722,-0.198272,-0.00136442
-0.384733,-0.198341,-0.00135387
-0.384744,-0.198409,-0.00134354
