x,y,gamma
-0.391142,-0.393145,-0.0158099
-0.391129,-0.391464,-0.00912614
-0.390717,-0.390008,-0.00706775
-0.390055,-0.388852,-0.00597222
-0.389274,-0.387999,-0.00526601
-0.388469,-0.38741,-0.0047624
-0.387696,-0.387036,-0.00437994
-0.386984,-0.386826,-0.00407674
-0.386345,-0.386737,-0.00382871
-0.38578,-0.386736,-0.00362092
-0.385287,-0.386798,-0.00344353
-0.384859,-0.386904,-0.00328979
-0.384488,-0.387039,-0.00315486
-0.384169,-0.387194,-0.0030352
-0.383894,-0.387361,-0.00292811
-0.383658,-0.387535,-0.00283155
-0.383455,-0.387711,-0.00274389
-0.383282,-0.387889,-0.00266383
-0.383135,-0.388064,-0.00259035
-0.38301,-0.388237,-0.00252258
-0.382905,-0.388405,-0.00245982
-0.382817,-0.38857,-0.00240148
-0.382745,-0.38873,-0.00234707
-0.382686,-0.388885,-0.00229615
-0.382639,-0.389035,-0.00224838
-0.382603,-0.38918,-0.00220344
-0.382577,-0.38932,-0.00216105
-0.38256,-0.389455,-0.002121
-0.382551,-0.389586,-0.00208306
-0.38255,-0.389712,-0.00204706
-0.382556,-0.389834,-0.00201285
-0.382568,-0.389952,-0.00198026
-0.382586,-0.390065,-0.00194919
-0.382609,-0.390175,-0.00191951
-0.382638,-0.39028,-0.00189113
-0.382672,-0.390382,-0.00186395
-0.38271,-0.39048,-0.00183789
-0.382753,-0.390574,-0.00181288
-0.3828,-0.390665,-0.00178884
-0.382851,-0.390753,-0.00176572
-0.382905,-0.390836,-0.00174345
-0.382963,-0.390917,-0.00172199
-0.383025,-0.390993,-0.00170129
-0.383089,-0.391067,-0.0016813
-0.383156,-0.391137,-0.00166199
-0.383226,-0.391204,-0.00164331
-0.383298,-0.391267,-0.00162523
-0.383372,-0.391328,-0.00160773
-0.383449,-0.391385,-0.00159077
-0.383527,-0.391439,-0.00157432
-0.383608,-0.39149,-0.00155836
-0.383689,-0.391537,-0.00154286
-0.383773,-0.391582,-0.0015278
-0.383857,-0.391625,-0.00151317
-0.383942,-0.391664,-0.00149894
-0.384028,-0.391701,-0.00148509
-0.384115,-0.391735,-0.00147161
-0.384202,-0.391767,-0.00145848
