x,y,gamma
-0.380264,-0.302386,-0.0158099
-0.380129,-0.303501,-0.00912614
-0.38021,-0.304526,-0.00706775
-0.380453,-0.305426,-0.00597222
-0.380805,-0.306187,-0.00526601
-0.381224,-0.306812,-0.0047624
-0.381677,-0.307311,-0.00437994
-0.382137,-0.3077,-0.00407674
-0.382591,-0.307995,-0.00382871
-0.383025,-0.308213,-0.00362092
-0.383436,-0.308366,-0.00344353
-0.383819,-0.308468,-0.00328979
-0.384174,-0.308528,-0.00315486
-0.384501,-0.308555,-0.0030352
-0.384801,-0.308555,-0.00292811
-0.385076,-0.308534,-0.00283155
-0.385326,-0.308496,-0.00274389
-0.385555,-0.308446,-0.00266383
-0.385763,-0.308385,-0.00259035
-0.385953,-0.308316,-0.00252258
-0.386126,-0.308241,-0.00245982
-0.386283,-0.308161,-0.00240148
-0.386426,-0.308078,-0.00234707
-0.386555,-0.307993,-0.00229615
-0.386673,-0.307905,-0.00224838
-0.386779,-0.307816,-0.00220344
-0.386875,-0.307726,-0.00216105
-0.386961,-0.307636,-0.002121
-0.387039,-0.307545,-0.00208306
-0.387108,-0.307454,-0.00204706
-0.387169,-0.307364,-0.00201285
-0.387224,-0.307273,-0.00198026
-0.387271,-0.307184,-0.00194919
-0.387312,-0.307094,-0.00191951
-0.387347,-0.307005,-0.00189113
-0.387376,-0.306917,-0.00186395
-0.387399,-0.30683,-0.00183789
-0.387418,-0.306743,-0.00181288
-0.387431,-0.306657,-0.00178884
-0.38744,-0.306571,-0.00176572
-0.387444,-0.306487,-0.00174345
-0.387444,-0.306403,-0.00172199
-0.38744,-0.30632,-0.00170129
-0.387432,-0.306239,-0.0016813
-0.38742,-0.306158,-0.00166199
-0.387405,-0.306078,-0.00164331
-0.387386,-0.305998,-0.00162523
-0.387364,-0.30592,-0.00160773
-0.387339,-0.305843,-0.00159077
-0.387311,-0.305767,-0.00157432
-0.38728,-0.305692,-0.00155836
-0.387247,-0.305618,-0.00154286
-0.387211,-0.305546,-0.0015278
-0.387173,-0.305474,-0.00151317
-0.387133,-0.305403,-0.00149894
-0.387091,-0.305333,-0.00148509
-0.387047,-0.305265,-0.00147161
-0.387002,-0.305197,-0.00145848
-0.386955,-0.305131,-0.00144568
-0.386907,-0.305065,-0.00143321
-0.386858,-0.305,-0.00142104
-0.386808,-0.304937,-0.00140917
-0.386757,-0.304874,-0.00139759
-0.386706,-0.304812,-0.00138627
-0.386654,-0.30475,-0.00137522
-0.386602,-0.30469,-0.00136442
-0.38655,-0.304629,-0.00135387
-0.386498,-0.30457,-0.00134354
-0.386447,-0.304511,-0.00133345
-0.386396,-0.304452,-0.00132356
-0.386346,-0.304394,-0.00131389
-0.386297,-0.304336,-0.00130442
-0.386249,-0.304278,-0.00129515
-0.386202,-0.304221,-0.00128606
-0.386157,-0.304163,-0.00127715
-0.386114,-0.304105,-0.00126843
-0.386073,-0.304047,-0.00125987
-0.386034,-0.303989,-0.00125147
-0.385997,-0.303931,-0.00124324
-0.385963,-0.303873,-0.00123516
-0.385932,-0.303814,-0.00122722
-0.385903,-0.303755,-0.00121944
-0.385879,-0.303696,-0.00121179
-0.385857,-0.303636,-0.00120428
-0.38584,-0.303576,-0.00119691
